name,type
sequenceNumber,
corporateNumber,
process,enum
correct,boolean
updateDate,
changeDate,
name,
nameImageId,
kind,enum
prefectureName,
cityName,
streetNumber,
addressImageId,
prefectureCode,
cityCode,
postCode,
addressOutside,
addressOutsideImageId,
closeDate,
closeCause,enum
successorCorporateNumber,
changeCause,
assignmentDate,
latest,boolean
enName,
enPrefectureName,
enCityName,
enAddressOutside,
furigana,
hihyoji,boolean
