date_of_order,title,amount,government_departments,joint_signatures,corporate_number
2021-04-01T00:00:00+09:00,情報処理安全確保支援士講習運営業務（２０２１年度実践講習運営）,252450000,情報処理推進機構,,1010001034730
2021-05-20T00:00:00+09:00,仮想サーバ環境に係るサーバＯＳのライセンス更新の調達,3175920,情報処理推進機構,,1010001110829
2021-06-02T00:00:00+09:00,演習用開発ソフトウェアライセンスの調達,7647200,情報処理推進機構,,1010001110829
2021-04-27T00:00:00+09:00,ポスト５Ｇ情報通信システム基盤強化研究開発事業ポスト５Ｇ情報通信システムの開発に関する動向調査,19987000,国立研究開発法人新エネルギー・産業技術総合開発機構,,1010001143390
2021-05-28T00:00:00+09:00,データマネジメントに関する実践状況調査,9938940,情報処理推進機構,,1010001146848
2021-06-14T00:00:00+09:00,２０２１年度ＳＴＡＭＰ支援ツールの不具合改修,9595300,情報処理推進機構,,1010501029940
2021-04-30T00:00:00+09:00,労働者派遣業務（２０２１年６月契約開始分【事務派遣】）,50960745,情報処理推進機構,,1011001015010
2021-04-01T00:00:00+09:00,労働者派遣業務（サイバー攻撃対応支援関連業務その２）,45305260,情報処理推進機構,,1020001028459
2021-04-01T00:00:00+09:00,労働者派遣業務（セキュリティ対策推進業務その３）,93713620,情報処理推進機構,,1020001028459
2021-04-01T00:00:00+09:00,文京グリーンコート８Ｆ－秋葉原ＵＤＸ２０Ｆ間の光ファイバ回線の調達,1300252,情報処理推進機構,,1050001016519
2021-04-01T00:00:00+09:00,ＩＴ人材育成ｉＰｅｄｉａシステムの運用・保守業務,1848000,情報処理推進機構,,1130001016808
2021-05-26T00:00:00+09:00,電気自動車用革新型蓄電池開発フッ化物電池の研究開発、亜鉛負極電池の研究開発,12063700,国立研究開発法人新エネルギー・産業技術総合開発機構,,1180301018771
2021-05-20T00:00:00+09:00,ＮＥＤＯ先導研究プログラムエネルギー・環境新技術先導研究プログラム植物工場向けＤＲ・生育維持システムの基礎技術開発,5060000,国立研究開発法人新エネルギー・産業技術総合開発機構,,1300005002712
2021-04-01T00:00:00+09:00,文京グリーンコートセンターオフィスの事務室等に係る清掃管理業務,23749308,情報処理推進機構,,2010001004501
2021-04-01T00:00:00+09:00,令和３年度・４年度コース別語学研修通学型研修　第二外国語コース（韓国語）　一式,904200,工業所有権情報・研修館,,2010001139553
2021-04-01T00:00:00+09:00,令和３年度・４年度コース別語学研修通学型・短期集中型研修　第二外国語コース（仏語）　一式,7847400,工業所有権情報・研修館,,2010001139553
2021-04-01T00:00:00+09:00,人事・給与・勤怠管理システムに係る運用契約,10929600,情報処理推進機構,,2010601029542
2021-04-01T00:00:00+09:00,人事・給与・勤怠管理システムに係るクラウドサービス契約,13993056,情報処理推進機構,,2010601029542
2021-04-01T00:00:00+09:00,令和３年度・４年度コース別語学研修通信教育型研修　オンライン英会話コース　一式,3652000,工業所有権情報・研修館,,2011101064006
2021-06-17T00:00:00+09:00,２０２１年度産業サイバーセキュリティセンター中核人材育成プログラムに関する講習等実施業務（ＯＴインシデント対応・ＢＣＰ分野）,103334946,情報処理推進機構,,2180005006072
2021-05-26T00:00:00+09:00,電気自動車用革新型蓄電池開発フッ化物電池の研究開発、亜鉛負極電池の研究開発,60000000,国立研究開発法人新エネルギー・産業技術総合開発機構,,2180005006072
2021-05-24T00:00:00+09:00,電気自動車用革新型蓄電池開発亜鉛負極電池の研究開発,45000000,国立研究開発法人新エネルギー・産業技術総合開発機構,,2220005002604
2021-05-20T00:00:00+09:00,ＮＥＤＯ先導研究プログラムエネルギー・環境新技術先導研究プログラム機械負荷制御導入による電動農機・農業ロボットの最適エネルギー・作業管理技術の開発,1060400,国立研究開発法人新エネルギー・産業技術総合開発機構,,2500001000533
2021-04-01T00:00:00+09:00,令和３年度・４年度コース別語学研修集合型研修　国際業務コース　一式,3270784,工業所有権情報・研修館,,3010005002327
2021-05-28T00:00:00+09:00,エネルギー消費の効率化等に資する我が国技術の国際実証事業Ｉｎｎｏｖａｔｉｏｎ　ｆｏｒ　Ｃｏｏｌ　Ｅａｒｔｈ　Ｆｏｒｕｍ（ＩＣＥＦ）の実施に係る国際連携及び情報発信等事業,49338300,国立研究開発法人新エネルギー・産業技術総合開発機構,,3010005018926
2021-04-01T00:00:00+09:00,新聞記事クリッピング及び自動配信サービスの調達,4752000,情報処理推進機構,"株式会社日本経済新聞社",3010701001805
2021-05-24T00:00:00+09:00,「ＮＥＤＯ　中小・スタートアップ成果等紹介動画」制作業務,5775000,国立研究開発法人新エネルギー・産業技術総合開発機構,,3011001002097
2021-05-31T00:00:00+09:00,新エネルギー等のシーズ発掘・事業化に向けた技術研究開発事業２０２１年度新規採択支援業務,9997900,国立研究開発法人新エネルギー・産業技術総合開発機構,,3011201005528
2021-04-26T00:00:00+09:00,宇宙産業技術情報基盤整備研究開発事業宇宙関連のビジネス・アイデア、投資家・事業会社、宇宙ビジネス人材間でのマッチング円滑化のための調査,5098500,国立研究開発法人新エネルギー・産業技術総合開発機構,,3011201005528
2021-05-20T00:00:00+09:00,企業におけるデジタル戦略・デジタル技術・デジタル人材に関する調査,19800000,情報処理推進機構,,3011201005528
2021-05-20T00:00:00+09:00,「ＮＥＤＯ水素・燃料電池プロジェクトレビュー２０２１」オンライン開催に係る運営等業務,1508100,国立研究開発法人新エネルギー・産業技術総合開発機構,,3013301015869
2021-05-26T00:00:00+09:00,電気自動車用革新型蓄電池開発フッ化物電池の研究開発、亜鉛負極電池の研究開発,180000000,国立研究開発法人新エネルギー・産業技術総合開発機構,,3180005006071
2021-05-24T00:00:00+09:00,電気自動車用革新型蓄電池開発フッ化物電池の研究開発、亜鉛負極電池の研究開発,135000000,国立研究開発法人新エネルギー・産業技術総合開発機構,,3290005003743
2021-04-01T00:00:00+09:00,電子入札システム導入支援業務及びサービス利用契約,6567000,情報処理推進機構,,3370001009281
2021-05-28T00:00:00+09:00,エネルギー消費の効率化等に資する我が国技術の国際実証事業Ｉｎｎｏｖａｔｉｏｎ　ｆｏｒ　Ｃｏｏｌ　Ｅａｒｔｈ　Ｆｏｒｕｍ（ＩＣＥＦ）の実施に係る国際連携及び情報発信等事業,22388300,国立研究開発法人新エネルギー・産業技術総合開発機構,,4010001054032
2021-04-01T00:00:00+09:00,共通基盤システム（機能拡張）の保守業務,6515300,情報処理推進機構,,4010001076142
