date,title,company
2020-01-08,嗜好性飲料抽出フィルター織物用マルチフィラメント,KBセーレン株式会社
2019-12-28,建築用コーナー材の収納ケース,長田化成株式会社
2019-01-31,導電性防草シート,株式会社白崎コーポレーション
2018-07-12,非接触通信システムのアンテナ,株式会社アートファイネックス
2018-06-07,コーナー部材,株式会社エルテクト
2018-04-05,基材層表層への機能層の形成方法及び形成装置,株式会社北陸濾化
2018-02-03,姿勢保持用関節装置及びそれを用いた姿勢保持支援装置,株式会社シマノ
2017-12-15,三次元顔画像の基準正面の設定方法、それを用いた眼鏡の選定方法及びそれを用いたカルテの作成方法,株式会社シャルマン
2017-10-11,高収縮性常圧カチオン可染性ポリエステル繊維及びそれを用いた混繊糸並びにそれらを用いた布帛,KBセーレン株式会社
2017-09-29,合成繊維のシリカ付着量の測定方法,KBセーレン株式会社
2017-09-20,パワーネット経編地,吉田産業株式会社
2017-08-31,医療用保護眼鏡,株式会社ボストンクラブ
2017-08-03,眼鏡用テンプル及びその製造方法,株式会社三工光学
2017-07-21,防虫具,協和化学株式会社
2017-06-09,サイドバイサイド分割型複合繊維及びそれを用いた生地の製造方法,KBセーレン株式会社
2017-05-29,検眼フレーム,株式会社シャルマン
2017-05-19,ポリアミド系導電性複合繊維,KBセーレン株式会社
2017-03-30,伸縮性編地の製造方法,KBセーレン株式会社
2017-03-30,高収縮性常圧カチオン可染性ポリエステル繊維およびそれを用いた混繊糸並びにそれらを用いた布帛,KBセーレン株式会社
2017-03-23,蛍光ポリエステル繊維,KBセーレン株式会社
2017-03-16,コネクタ清掃具用清掃紐及びその製造方法,KBセーレン株式会社
2017-01-13,伸縮性導電体,ウラセ株式会社
2016-12-27,複合糸,KBセーレン株式会社
2016-11-21,害獣侵入防止ネット,株式会社白崎コーポレーション
2016-10-12,折畳み扉装置,株式会社TOKO
2016-09-30,ポリウレタン弾性機能性不織布,KBセーレン株式会社
2016-09-30,海島型複合繊維及びそれを用いた布帛,KBセーレン株式会社
2016-09-17,閉鎖器具及びドア,株式会社エルテクト
2016-09-16,織物調車両内装材用トリコット,KBセーレン株式会社
2016-09-14,ゴーグル用シールド及びゴーグル,株式会社SCOPE
2016-07-27,タイヤ用ビード繊維,KBセーレン株式会社
2016-07-14,炭素/炭素複合材製のつづら折り状に屈曲した板状スプリング,株式会社CFCデザイン
2016-07-14,セラミックス電子部品の中間品の製造方法、セラミックス電子部品の中間品及びセラミックス電子部品,株式会社北陸濾化
2016-06-21,デバイスを取付けることが出来るメガネフレーム,株式会社ボストンクラブ
2016-05-20,ツル性植物のガードフェンス,株式会社白崎コーポレーション
2016-04-27,定規縁,ポリマー化成株式会社
2016-04-15,マスクの形成方法、これを利用したプリント配線基板の製造方法、電鋳部品の製造方法およびスクリーン印刷製版の製造方法,株式会社北陸濾化
2016-04-11,内視鏡手術器具,株式会社シャルマン
2016-03-31,金属吸着材用ウェッブ及び不織布、それらの製造方法,KBセーレン株式会社
2016-03-17,貼付材及びそれに用いる貼付材用支持体,KBセーレン株式会社
2016-02-12,ナノポーラス構造を有するフィブロイン成形物の製造方法,KBセーレン株式会社
2016-02-12,フィブロインナノファイバーの製造方法,KBセーレン株式会社
2016-02-12,繊維状タンパク質スラリー及びその製造方法,KBセーレン株式会社
2016-02-12,インテリア内装材用布帛の製造方法,KBセーレン株式会社
2015-12-28,嗜好性飲料抽出フィルター用織物,KBセーレン株式会社
2015-12-08,炭素/炭素複合材製コイルスプリング,株式会社CFCデザイン
2015-10-15,導電糸の製造方法,ウラセ株式会社
2015-09-30,複合繊維及びそれを用いた布帛の製造方法,KBセーレン株式会社
2015-09-08,丸打ち結束紐及びその製造方法,KBセーレン株式会社
2015-09-03,眼鏡フレームのテンプル角度調節構造、及び眼鏡フレーム用エンドピース,青山眼鏡株式会社
2015-08-31,手術器械,株式会社シャルマン
2015-08-12,コアスパン糸及びそれを用いた織編物,KBセーレン株式会社
2015-07-29,外科手術用クリップ,株式会社シャルマン
2015-07-23,パイル編地及びその製造方法並びにそれを用いた洗浄具又は清掃具,KBセーレン株式会社
2015-07-03,熱膨張特性の異なる材料からなる継手の調心機構,株式会社CFCデザイン
2015-06-26,炭素繊維寄与率の高い、高機能炭素/炭素複合材,株式会社CFCデザイン
2015-05-28,炭素/炭素複合材の前駆体の製造方法、およびそれを用いた炭素/炭素複合材の製造方法。,株式会社CFCデザイン
2015-05-26,導電性合成紙,KBセーレン株式会社
2015-05-14,永久磁石回転機構およびこの永久磁石回転機構を備えた永久磁石発電装置,株式会社日創
2015-04-07,透光性樹脂基材の製造方法、透光性樹脂基材及び透光性成形体,有限会社マグティク
2015-03-31,溶融異方性芳香族ポリエステル繊維およびその製造方法,KBセーレン株式会社
2015-03-31,難燃性車両資材用布帛,KBセーレン株式会社
2015-03-25,開創器,株式会社シャルマン
2015-03-24,繊維強化複合材料,KBセーレン株式会社
2015-03-20,炭素ナノ繊維材料を分散させた複合めっき処理用分散液及びそれを含む複合めっき液、複合めっき液を用いた複合めっき処理方法並びに複合めっき処理を用いて表面めっき被膜を形成する切削工具の表面めっき処理方法,アイテック株式会社
2015-02-06,微量成分検知用電極センサ及びその製造方法,株式会社シー・アンド・エム
2014-12-24,食器,カセン産業株式会社
2014-12-15,付着物の塗布方法,ヨシダ工業株式会社
2014-11-11,緊急放送用ラジオ受信機,特定非営利活動法人たんなん夢レディオ
2014-11-11,メガネフレームのフロント部,株式会社三工光学
2014-11-06,被研磨物保持材,KBセーレン株式会社
2014-10-28,エックス線検出具及びエックス線検出方法,株式会社サンルックス
2014-10-19,眼鏡,有限会社ニッキンワーク
2014-10-19,眼鏡部材の連結構造及びそれを備えた眼鏡,有限会社ニッキンワーク
2014-10-10,地面の防草構造,株式会社白崎コーポレーション
2014-09-30,合成繊維マルチフィラメント,KBセーレン株式会社
2014-06-23,眼鏡,株式会社シャルマン
2014-06-13,眼鏡のフロントフレーム構造,株式会社三工光学
2014-05-23,建築用コーナー材,長田化成株式会社
2014-05-23,メガネフレーム,株式会社三工光学
2014-05-14,連結具,株式会社アイ・ディ・エス
2014-05-14,蝶番構造,株式会社アイ・ディ・エス
2014-04-18,複合繊維および布帛,KBセーレン株式会社
2014-04-18,複合繊維、それからなる仮撚加工糸およびその製造方法、ならびに布帛,KBセーレン株式会社
2014-04-11,レーザー遮光シート,ウラセ株式会社
2014-04-08,熱可塑性樹脂補強シート材及びその製造方法,八田経編株式会社
2014-03-31,仮撚加工糸,KBセーレン株式会社
2014-03-28,光透過性プラスチック部材の青色光カット方法,株式会社サンルックス
2014-03-27,ポリフェニレンスルフィドモノフィラメントおよびその製造方法,KBセーレン株式会社
2014-03-27,ソーワイヤの表面形状評価方法及び装置,アイテック株式会社
2014-03-24,縁なしメガネ,株式会社加藤八
2014-03-18,バーティカルスタティックミキサー,KBセーレン株式会社
2014-03-18,食缶,カセン産業株式会社
2014-02-28,建築用コーナー材の製造方法及び建築用コーナー材,長田化成株式会社
2014-02-26,不織布状金属吸着材およびその製造方法,KBセーレン株式会社
2014-02-07,合成繊維,KBセーレン株式会社
2014-02-07,海島型複合繊維,KBセーレン株式会社
2014-02-04,ナノカーボン繊維被覆ダイヤモンド粒子の製造方法,アイテック株式会社
2013-10-24,押出成形金型の補正方法及び押出成形金型,長田化成株式会社
2013-09-27,ポリアミド潜在捲縮糸及びその製造方法,KBセーレン株式会社
2013-09-20,メルトブロー不織布の製造方法,KBセーレン株式会社
2013-09-17,眼鏡レンズの保持部材及びそれを備えた眼鏡,有限会社ニッキンワーク
2013-09-10,ラッシェル経編地,吉田産業株式会社
2013-08-29,粘着防水シート材及びU字溝水路の継目水漏れ防止構造,株式会社白崎コーポレーション
2013-08-01,抗菌製品の防汚処理方法,株式会社エツミ光学
2013-07-30,取付方法,株式会社伸永
2013-07-30,戸当り及び戸当り構造,株式会社伸永
2013-07-25,外科手術用器具,株式会社シャルマン
2013-07-19,動物保定具,KBセーレン株式会社
2013-07-11,芯鞘複合繊維,KBセーレン株式会社
2013-07-04,インナーソックス,KBセーレン株式会社
2013-06-04,経編地及びその製造方法,吉田産業株式会社
2013-04-16,中空針の凹部形成方法及び中空針の凹部形成装置,ヨシダ工業株式会社
2013-03-30,ポリウレタンメルトブロー不織布の製造方法,KBセーレン株式会社
2013-03-29,パイル糸用海島繊維,KBセーレン株式会社
2013-03-26,NDフィルタ及び太陽観察用NDフィルタ並びにこれらの製造方法,株式会社サンルックス
2013-03-22,吻合手術用補助クリップ,ヨシダ工業株式会社
2013-03-08,生体内導入器具,株式会社シャルマン
2013-02-12,光透過性プラスチック部材の青色光カット方法および光透過性プラスチック部材の生産方法,株式会社サンルックス
2013-02-01,メガネフレーム,タナカフォーサイト株式会社
2013-01-15,メガネフレームのツル構造,株式会社エクセル眼鏡
2012-12-14,暈し着色レンズおよび暈し着色製品,株式会社エツミ光学
2012-12-13,医療用器具,株式会社シャルマン
2012-11-09,軸部材の接続構造,株式会社CFCデザイン
2012-10-26,繊維強化樹脂材、及び該繊維強化樹脂材の製造方法,KBセーレン株式会社
2012-09-29,複合繊維,KBセーレン株式会社
2012-09-06,眼鏡用フレーム部材,タナカフォーサイト株式会社
2012-08-29,カーボン/カーボンコンポジット用の中間材料,株式会社CFCデザイン
2012-05-21,環境に優しい耐久撥水性織物及び該織物を用いた繊維製品,株式会社マルサンアイ
2012-04-27,表面改質処理剤および表面改質方法,株式会社北陸濾化
2012-04-05,ポリエステル複合繊維,KBセーレン株式会社
2012-03-16,歯間フロス用糸,KBセーレン株式会社
2012-03-13,手術用ガーゼ及びその管理システム,ウラセ株式会社
2012-03-12,メガネフレームのツル継手構造,株式会社エクセル眼鏡
2011-09-20,熱硬化性プラスチック材料の高周波誘電加熱装置、及び熱硬化性プラスチックの成形方法,株式会社サンルックス
2011-09-09,磁界延長型アンテナおよび磁界延長型アンテナ搭載RFID認識用手袋,株式会社アートファイネックス
2011-09-05,緑化駐車場及びそのコンクリートブロック,株式会社白崎コーポレーション
2011-08-31,インクジェット用クロスメディアの製造方法,KBセーレン株式会社
2011-08-24,多孔性ゴム無端印字ベルト,KBセーレン株式会社
2011-07-29,無電解複合めっき液用分散剤,アイテック株式会社
2011-07-14,繊維布帛及び繊維布帛の製造方法,KBセーレン株式会社
2011-07-14,芯鞘型複合繊維,KBセーレン株式会社
2011-07-08,シート,株式会社白崎コーポレーション
2011-04-29,口腔内清掃用綿棒,KBセーレン株式会社
