date_of_order,title,amount,government_departments,joint_signatures,corporate_number
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,株式会社ＪＥＣＣ,7010401022916
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,日本電気株式会社,2010001033475
2020-04-01T00:00:00+09:00,デジタル複写機及びその付属品の保守　一式,1,特許庁,,3010401026805
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,株式会社ＪＥＣＣ,7010401022916
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,株式会社ＪＥＣＣ,7010401022916
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,日本電気株式会社,2010001033475
2020-04-01T00:00:00+09:00,デジタル複写機及びその付属品の保守　一式,1,特許庁,,3010401026805
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,日本電気株式会社,2010001033475
2020-04-01T00:00:00+09:00,デジタル複写機及びその付属品の保守　一式,1,特許庁,,3010401026805
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,日本電気株式会社,2010001033475
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,株式会社ＪＥＣＣ,7010401022916
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,株式会社ＪＥＣＣ,7010401022916
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,株式会社ＪＥＣＣ,7010401022916
2020-04-01T00:00:00+09:00,デジタル複写機及びその付属品の保守　一式,1,特許庁,,3010401026805
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,株式会社ＪＥＣＣ,7010401022916
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,株式会社ＪＥＣＣ,7010401022916
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,日本電気株式会社,2010001033475
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,日本電気株式会社,2010001033475
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,株式会社ＪＥＣＣ,7010401022916
2020-04-01T00:00:00+09:00,令和２年度複合機の保守及び消耗品（用紙を除く。）の供給,1,経済産業省,日本電気株式会社,2010001033475
