date_of_order,title,amount,government_departments,joint_signatures,corporate_number
2019-04-01T00:00:00+09:00,平成３１年度技術協力活用型・新興国市場開拓事業（インフラ海外展開支援）,90000000167598800,経済産業省,,9010005018986
2019-05-23T00:00:00+09:00,多様性とイノベーションの創出による都市再生に関する調査業務,49940004996200,国土交通省,,3010401037091
2020-04-30T00:00:00+09:00,令和２年度補正持続化給付金事務事業,76902084807,中小企業庁,,9010405014817
2020-06-18T00:00:00+09:00,令和２年度家賃支援給付金事務事業,76319876330,中小企業庁,,5010001149426
2019-04-01T00:00:00+09:00,ハローワークシステム拠点設備更改等一式,73872000000,厚生労働省,,1020001071491
2016-03-23T00:00:00+09:00,Ｐ－１用エンジン（Ｆ７－１０・搭載用）,70787520000,防衛省,,4010601031604
2018-07-23T00:00:00+09:00,ハローワークシステムのセンター設備更改・保守、バックアップセンターの構築及び設備導入・保守一式,69157800000,厚生労働省,,1020001071491
2016-05-20T00:00:00+09:00,装輪車両等純正部品,68208000000,防衛省,,6130001023394
2017-03-15T00:00:00+09:00,ＳＨ－６０Ｋ哨戒ヘリコプター,61561080000,防衛省,,8010401050387
2019-04-01T00:00:00+09:00,平成３１年度国家備蓄石油管理等事業（国家備蓄石油の管理業務及び管理等に係る調査等業務）,56200000000,資源エネルギー庁,,4010405009573
2017-04-03T00:00:00+09:00,平成２９年度国家備蓄石油管理等業務（国家備蓄石油の管理業務及び管理等に係る調査等業務）,52326444000,経済産業省（資源エネルギー庁）,,4010405009573
2020-04-01T00:00:00+09:00,令和２年度国家備蓄石油管理等事業（国家備蓄石油の管理業務及び管理等に係る調査等業務）,52000000000,資源エネルギー庁,,4010405009573
2017-04-03T00:00:00+09:00,平成２９年度高速炉の国際協力等に関する技術開発,51999951175,経済産業省（資源エネルギー庁）,,6050005002007
2018-10-22T00:00:00+09:00,護衛艦（３９００トン型）,49788000000,防衛省,,8010401050387
2020-01-28T00:00:00+09:00,護衛艦（３９００トン型）,45925000000,防衛省,,8010401050387
2018-03-09T00:00:00+09:00,潜水艦（８１２８）,45576000000,防衛省,,8010401050387
2017-03-28T00:00:00+09:00,地対空誘導弾ペトリオット（初度費）,45241902000,防衛省,,8010401050387
2020-08-14T00:00:00+09:00,令和２年度補正持続化給付金審査等事務事業,42761800000,中小企業庁,,3010001076738
2015-09-16T00:00:00+09:00,護衛艦（１６１５）,38828160000,防衛省,,8020001076641
2015-09-15T00:00:00+09:00,潜水艦（８１２６）,38664000000,防衛省,,8010401050387
2018-03-23T00:00:00+09:00,輸送ヘリコプターＣＨ－４７ＪＡ,38491200000,防衛省,,1140001005719
2016-10-24T00:00:00+09:00,潜水艦（８１２７）,35910000000,防衛省,,1140001005719
2019-10-31T00:00:00+09:00,空中線装置,34955000000,防衛省,,5010001008771
2018-07-17T00:00:00+09:00,Ｃ－２輸送機,33644160000,防衛省,,1140001005719
2017-04-03T00:00:00+09:00,ハローワークシステム　拠点設備更改等一式（平成２９、３０年度契約延長）,32359655001,厚生労働省,,1020001071491
2017-06-28T00:00:00+09:00,平成２９年度から平成３２年度までの特定廃棄物セメント固型化処理業務,32143987080,環境省,,5120001026309
2017-03-28T00:00:00+09:00,ＵＨ－６０Ｊ救難ヘリコプター,30833568000,防衛省,,8010401050387
2018-08-10T00:00:00+09:00,Ｆ１１０エンジン維持部品包括取得及び整備,29095059600,防衛省,,4010601031604
