sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
22,1010401150961,登記記録の閉鎖等,0,2025-12-18,2025-12-09,株式会社ＫＥＩ　ＣＯＮＳＵＬＴＩＮＧ,,株式会社,福岡県,福岡市博多区,博多駅南１丁目２番２号,,40,132,8120016,,,2025-12-09,清算の結了等,,,2020-02-12,1,,,,,ケイコンサルティング,0
25,1010403032225,登記記録の閉鎖等,0,2025-12-18,2025-11-28,ＧＲＪ株式会社,,株式会社,東京都,港区,赤坂３丁目８番８号,,13,103,1070052,,,2025-11-28,清算の結了等,,,2024-03-21,1,,,,,ジーアールジェイ,0
27,1010405006565,登記記録の閉鎖等,0,2025-12-18,2025-11-27,青山ホールディング一般社団法人,,その他の設立登記法人,東京都,港区,虎ノ門３丁目２２番１０－２０１号,,13,103,1050001,,,2025-11-27,清算の結了等,,,2015-10-05,1,,,,,アオヤマホールディング,0
28,1010405020665,登記記録の閉鎖等,0,2025-12-18,2025-11-21,一般社団法人ワークＤＸ推進機構,,その他の設立登記法人,東京都,港区,新橋２丁目１６番１号ニュー新橋ビル９０３,,13,103,1050004,,,2025-11-21,清算の結了等,,,2022-02-09,1,,,,,ワークディーエックススイシンキコウ,0
40,1010901044424,登記記録の閉鎖等,0,2025-12-18,2025-12-16,ＬＬＥ旭株式会社,,株式会社,東京都,世田谷区,深沢６丁目９番９－３０７号,,13,112,1580081,,,2025-12-16,清算の結了等,,,2019-06-26,1,,,,,エルエルイーアサヒ,0
46,1011001059957,登記記録の閉鎖等,0,2025-12-18,2025-12-03,ニッポンレンタカー販売株式会社,,株式会社,東京都,千代田区,神田練塀町３番地,,13,101,1010022,,,2025-12-03,清算の結了等,,,2015-10-05,1,,,,,ニッポンレンタカーハンバイ,0
48,1011001162414,登記記録の閉鎖等,0,2025-12-18,2025-11-25,株式会社Ｃｏｍｉｎａｌ,,株式会社,東京都,渋谷区,円山町５番５号Ｎａｖｉ渋谷Ｖ３階,,13,113,1500044,,,2025-11-25,清算の結了等,,,2024-06-05,1,,,,,コミナル,0
62,1011301027688,登記記録の閉鎖等,0,2025-12-18,2025-12-10,株式会社バーチャルイベントコンサルティング,,株式会社,東京都,杉並区,阿佐谷南１丁目３８－８,,13,115,1660004,,,2025-12-10,清算の結了等,,,2022-04-04,1,,,,,バーチャルイベントコンサルティング,0
73,1012402017561,登記記録の閉鎖等,0,2025-12-18,2025-12-08,有限会社ビーエムエスアソシエイツ,,有限会社,東京都,武蔵野市,吉祥寺南町１丁目３１番２－４０１号,,13,203,1800003,,,2025-12-08,清算の結了等,,,2015-10-05,1,,,,,ビーエムエスアソシエイツ,0
95,1020002082372,登記記録の閉鎖等,0,2025-12-18,2025-12-15,有限会社津嘉山工業所,,有限会社,神奈川県,川崎市幸区,南加瀬５丁目１番１９－１号,,14,132,2120055,,,2025-12-15,清算の結了等,,,2015-10-05,1,,,,,ツカヤマコウギョウショ,0
