sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
32,1010501032234,登記記録の閉鎖等,0,2025-10-15,2025-10-01,株式会社イメディアリネン,,株式会社,東京都,台東区,池之端１丁目５番２号,,13,106,1100008,,,2025-10-01,合併による解散等,7010501032237,令和７年１０月１日東京都台東区池之端一丁目５番２号塩沢リネンサプライ株式会社（7010501032237）に合併し解散,2015-10-05,1,,,,,イメディアリネン,0
35,1010502022829,登記記録の閉鎖等,0,2025-10-15,2025-09-25,有限会社ピーウィン,,有限会社,神奈川県,横浜市南区,永田山王台１８番３号,,14,105,2320074,,,2025-09-25,清算の結了等,,,2015-10-05,1,,,,,ピーウイン,0
40,1010701026341,登記記録の閉鎖等,0,2025-10-15,2025-09-09,オーマイグラス株式会社,,株式会社,東京都,港区,六本木７丁目１０番２５号,,13,103,1060032,,,2025-09-09,合併による解散等,6010401189789,令和７年９月９日東京都港区六本木七丁目１０番２５号オーマイグラス株式会社（6010401189789）に合併し解散,2015-10-05,1,,,,,オーマイグラス,0
50,1011001150154,登記記録の閉鎖等,0,2025-10-15,2025-09-10,株式会社カラビナワークス,,株式会社,東京都,渋谷区,恵比寿西２丁目３番１１号メゾン・ド・エビス４０８,,13,113,1500021,,,2025-09-10,清算の結了等,,,2022-10-11,1,,,,,カラビナワークス,0
60,1011101089160,登記記録の閉鎖等,0,2025-10-15,2025-10-08,株式会社ＺｅＢｒａｎｄ,,株式会社,東京都,新宿区,下宮比町２番２７号,,13,104,1620822,,,2025-10-08,合併による解散等,7120001040217,令和７年１０月１日大阪市浪速区敷津東二丁目６番２５号株式会社モリサワ（7120001040217）に合併し解散,2019-10-08,1,,,,,ズィブランド,0
83,1012401001649,登記記録の閉鎖等,0,2025-10-15,2025-10-02,株式会社ミドリ,,株式会社,東京都,府中市,幸町２丁目１３番地７,,13,206,1830054,,,2025-10-02,清算の結了等,,,2015-10-05,1,,,,,ミドリ,0
85,1012402020185,登記記録の閉鎖等,0,2025-10-15,2025-10-01,有限会社三田村,,有限会社,東京都,三鷹市,新川１丁目１４番１３号,,13,204,1810004,,,2025-10-01,清算の結了等,,,2015-10-05,1,,,,,ミタムラ,0
95,1013302016216,登記記録の閉鎖等,0,2025-10-15,2025-10-06,有限会社アルビルド,,有限会社,東京都,豊島区,目白２丁目１８番１５号,,13,116,1710031,,,2025-10-06,清算の結了等,,,2015-10-05,1,,,,,アルビルド,0
96,1020001018575,登記記録の閉鎖等,0,2025-10-15,2025-09-30,ビルダー商事株式会社,,株式会社,神奈川県,横浜市鶴見区,小野町２５番地,,14,101,2300046,,,2025-09-30,清算の結了等,,,2015-10-05,1,,,,,ビルダーショウジ,0
99,1020001084808,登記記録の閉鎖等,0,2025-10-15,2025-09-29,株式会社コミュ・コンサルティング,,株式会社,神奈川県,横浜市旭区,鶴ケ峰本町２丁目４４番６－７０２号,,14,112,2410021,,,2025-09-29,清算の結了等,,,2015-10-05,1,,,,,コミュコンサルティング,0
120,1030001057069,登記記録の閉鎖等,0,2025-10-15,2025-10-01,環境開発株式会社,,株式会社,埼玉県,富士見市,関沢１丁目７番３０号,,11,235,3540025,,,2025-10-01,合併による解散等,6030001046430,令和７年１０月１日埼玉県富士見市大字水子４３７０番地１株式会社東洋産業（6030001046430）に合併し解散,2015-10-05,1,,,,,,0
148,1100001005359,登記記録の閉鎖等,0,2025-10-15,2025-10-01,株式会社シューズスター,,株式会社,新潟県,加茂市,寿町１２番２号,,15,209,9591384,,,2025-10-01,合併による解散等,1110002018458,令和７年１０月１日新潟県加茂市駅前５番１８号株式会社ミナトシューズ（1110002018458）に合併し解散,2015-10-05,1,,,,,シューズスター,0
152,1110001005069,登記記録の閉鎖等,0,2025-10-15,2025-10-02,株式会社ピーエムテクノ,,株式会社,新潟県,新潟市東区,平和町１４番地,,15,102,9500035,,,2025-10-02,合併による解散等,7110001008388,令和７年１０月１日新潟県新潟市東区小金町三丁目１番１号株式会社ダイヤメット（7110001008388）に合併し解散,2015-10-05,1,,,,,ピーエムテクノ,0
164,1120001264944,登記記録の閉鎖等,0,2025-10-15,2025-10-01,株式会社Ｆｏｒｔｕｎａ,,株式会社,大阪府,大阪市淀川区,西中島３丁目１７番５号,,27,123,5320011,,,2025-10-01,清算の結了等,,,2024-05-17,1,,,,,フォルトゥナ,0
