sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
9,1010002037823,登記記録の閉鎖等,0,2022-02-15,2022-02-08,有限会社ゼネラル出版,,有限会社,東京都,中央区,湊３丁目９番１号民衆堂ビル３階,,13,102,1040043,,,2022-02-08,清算の結了等,,,2015-10-05,1,,,,,ゼネラルシュッパン,0
14,1010102007049,登記記録の閉鎖等,0,2022-02-15,2022-02-10,両満織物有限会社,,有限会社,東京都,八王子市,平岡町４番２号,,13,201,1920061,,,2022-02-10,清算の結了等,,,2015-10-05,1,,,,,,0
37,1011001007932,登記記録の閉鎖等,0,2022-02-15,2022-01-28,株式会社イー・エス・ジー,,株式会社,東京都,渋谷区,松濤２丁目２０番６号,,13,113,1500046,,,2022-01-28,清算の結了等,,,2015-10-05,1,,,,,イーエスジー,0
51,1011702017420,登記記録の閉鎖等,0,2022-02-15,2022-02-09,有限会社高石工務店,,有限会社,東京都,江戸川区,北小岩８丁目６番１８号,,13,123,1330051,,,2022-02-09,清算の結了等,,,2015-10-05,1,,,,,タカイシコウムテン,0
60,1013302003494,登記記録の閉鎖等,0,2022-02-15,2022-02-07,有限会社コンセプトメディオスリー,,有限会社,東京都,千代田区,富士見１丁目３番１号上田富士見ビル２階１０号室,,13,101,1020071,,,2022-02-07,清算の結了等,,,2015-10-05,1,,,,,コンセプトメディオスリー,0
63,1020001019912,登記記録の閉鎖等,0,2022-02-15,2022-02-09,キクデン株式会社,,株式会社,神奈川県,横浜市港北区,錦が丘１番２６号,,14,109,2220013,,,2022-02-09,合併による解散等,8020001019914,令和４年２月１日千葉県木更津市真里谷２０７８番地キクナ電子株式会社（8020001019914）に合併し解散,2015-10-05,1,,,,,キクデン,0
67,1020002055270,登記記録の閉鎖等,0,2022-02-15,2022-02-10,有限会社インフォテクノ,,有限会社,神奈川県,横浜市鶴見区,北寺尾３丁目１０番１３－１００２号,,14,101,2300074,,,2022-02-10,清算の結了等,,,2015-10-05,1,,,,,インフォテクノ,0
72,1020005006295,登記記録の閉鎖等,0,2022-02-15,2022-02-10,特定非営利活動法人ＭＩＺＵ,,その他の設立登記法人,神奈川県,横浜市青葉区,奈良１丁目１５番地１１,,14,117,2270038,,,2022-02-10,清算の結了等,,,2015-10-05,1,,,,,ミズ,0
79,1030001050362,登記記録の閉鎖等,0,2022-02-15,2022-02-08,株式会社興建,,株式会社,埼玉県,朝霞市,東弁財２丁目１２番２－３０５号,,11,227,3510022,,,2022-02-08,清算の結了等,,,2015-10-05,1,,,,,コウケン,0
118,1100001003998,登記記録の閉鎖等,0,2022-02-15,2022-02-09,株式会社サンデープラニング,,株式会社,長野県,上水内郡信濃町,大字野尻字狐久保３７９番２,,20,583,3891303,,,2022-02-09,清算の結了等,,,2015-10-05,1,,,,,サンデープラニング,0
122,1110002004879,登記記録の閉鎖等,0,2022-02-15,2022-02-10,有限会社新潟日報女池販売センター,,有限会社,新潟県,新潟市中央区,女池２丁目２番１５号,,15,103,9500941,,,2022-02-10,清算の結了等,,,2015-10-05,1,,,,,ニイガタニッポウメイケハンバイセンター,0
133,1120002017327,登記記録の閉鎖等,0,2022-02-15,2022-02-14,有限会社おおた,,有限会社,大阪府,大阪市住吉区,万代６丁目１５番３号,,27,120,5580055,,,2022-02-14,清算の結了等,,,2015-10-05,1,,,,,オオタ,0
144,1130001008342,登記記録の閉鎖等,0,2022-02-15,2022-02-10,株式会社総本家八百松老舗,,株式会社,京都府,京都市西京区,御陵大枝山町５丁目２２番地１０,,26,111,6101102,,,2022-02-10,清算の結了等,,,2015-10-05,1,,,,,ソウホンケヤオマツロウホ,0
159,1150005003684,登記記録の閉鎖等,0,2022-02-15,2022-02-10,特定非営利活動法人うぶすな企画,,その他の設立登記法人,奈良県,生駒郡平群町,大字椿井１３６０番地,,29,342,6360911,,,2022-02-10,清算の結了等,,,2015-10-05,1,,,,,ウブスナキカク,0
169,1180301010134,登記記録の閉鎖等,0,2022-02-15,2022-02-10,株式会社西村,,株式会社,愛知県,豊川市,白鳥町穴田６５番地,,23,207,4420848,,,2022-02-10,合併による解散等,7290001048730,令和４年２月１日福岡県久留米市山川神代一丁目４番３１号株式会社みらいふ（7290001048730）に合併し解散,2015-10-05,1,,,,,ニシムラ,0
181,1240002052956,登記記録の閉鎖等,0,2022-02-15,2022-02-09,有限会社イトー,,有限会社,広島県,三原市,東町２丁目１番３号,,34,204,7230011,,,2022-02-09,清算の結了等,,,2015-10-05,1,,,,,イトー,0
202,1320002017983,登記記録の閉鎖等,0,2022-02-15,2022-02-08,有限会社ナカジョウ,,有限会社,大分県,竹田市,大字竹田町１３８番地,,44,208,8780012,,,2022-02-08,清算の結了等,,,2015-10-05,1,,,,,ナカジョウ,0
