corporateID,corporateName,corporateKana,cityID,location,moddate
8700150007519,Ｏｒｉｅｎｔ　Ｏｖｅｒｓｅａｓ　Ｃｏｎｔａｉｎｅｒ　Ｌｉｎｅ　Ｌｉｍｉｔｅｄ,オリエントオーバーシーズコンテナラインリミテツド,13109,東京都品川区大崎１丁目１１番２号ゲートシティ大崎イーストタワー８階,2019-05-13T15:00:00.000Z
9700150007534,ＫＥＡＬＡＭＡＩＬＡＮＩ，ＬＬＣ,ケアラマイラニエルエルシー,13109,東京都品川区旗の台２丁目９－１０,2018-06-21T15:00:00.000Z
7700150007536,コロンビア・ワールド・カンパニーリミテッド,コロンビアワールドカンパニーリミテツド,13109,東京都品川区西中延２丁目４－２,2018-06-21T15:00:00.000Z
9700150007542,シュウ・サケ・コーポレーション,シユウサケコーポレーシヨン,13109,東京都品川区中延３丁目７－１０－２階,2018-06-21T15:00:00.000Z
6700150007545,デジタルサバービアアメリカ・インコーポレーテッド,デジタルサバービアアメリカインコーポレーテツド,13109,東京都品川区旗の台５丁目１－６,2019-06-23T15:00:00.000Z
9700150007550,ハイドロシステムズインターナショナルインコーポレーテッド,ハイドロシステムズインターナシヨナルインコーポレーテツド,13109,東京都品川区荏原２丁目１７－１９－２０３,2018-06-21T15:00:00.000Z
6700150007553,フルイド・オ・テックインターナショナルインコーポレーテッド,フルイドオテツクインターナシヨナルインコーポレーテツド,13112,東京都世田谷区尾山台１丁目１１－２５－２０３,2018-06-21T15:00:00.000Z
4700150007555,ヘレンエックスポトアンドインポトカンパニプライベトリミテド,ヘレンエツクスポトアンドインポトカンパニプライベトリミテド,13109,東京都品川区平塚１丁目１３－２０,2018-06-20T15:00:00.000Z
7700150007569,Ｕｎｄｅｒｗａｔｅｒ　Ｅｎｇｉｎｅｅｒｉｎｇ　Ｓｅｒｖｉｃｅｓ，Ｉｎｃ．,アンダーウオーターエンジニアリングサービスインク,13111,東京都大田区山王２丁目１番８号,2018-06-21T15:00:00.000Z
4700150007571,インターナショナルプロデュースグループエルエルシー,インターナシヨナルプロデユースグループエルエルシー,13111,東京都大田区大森北２丁目２番１０号ＡＭＴ大森ビル５階,2018-06-20T15:00:00.000Z
2700150007573,株式会社エスエルプロバイダー,カブシキガイシヤエスエルプロバイダー,13111,東京都大田区東海４丁目２番３号,2018-06-20T15:00:00.000Z
9700150007591,上海名宝工貿有限公司,シヤンハイメイホウコウボウユウゲンコウシ,13111,東京都大田区大森北１丁目２３番８－５０８号,2018-06-21T15:00:00.000Z
6700150007594,デイビンロイ・エンタプライジズリミテッド,デイビンロイエンタプライジズリミテツド,13111,東京都大田区大森西３丁目１番３８号,2018-06-21T15:00:00.000Z
7700150007602,トライオーシャンインコーポレーテッド,トライオーシヤンインコーポレーテツド,13103,東京都港区浜松町２丁目２番１５号,2018-06-21T15:00:00.000Z
1700150007608,Ｂａｏ　Ｖｉｅｔ　Ｃｏｎｓｕｌｔｉｎｇ　ｓｅｒｖｉｃｅｓ　ａｎｄ　Ｔｒａｄｉｎｇ　Ｏｎｅ－Ｍｅｍｂｅｒ　Ｃｏ．，Ｌｔｄ,バオベトコンサルテイングサービスアンドトレーデイングワンメンバーリミテツド,13109,東京都品川区南大井６丁目２４番１４号７０４号室,2018-11-19T15:00:00.000Z
6700150007611,福建省福和楽貿易有限公司,フツケンシヨウフクワラクボウエキユウゲンコウシ,13111,東京都大田区東海３丁目９番１５号八治ビル５階,2018-06-21T15:00:00.000Z
1700150007616,Ｍｕｒａｈｉｇｅ　Ｉｎｃｏｒｐｏｒａｔｅｄ,ムラヒゲインコーポレーテツド,13111,東京都大田区大森北５丁目１６－１－１４０８,2018-06-20T15:00:00.000Z
9700150007617,ラスティック・ビーナス・インク,ラステイツクビーナスインク,13111,東京都大田区大森北１丁目２２－２－４０１,2019-06-25T15:00:00.000Z
7700150007635,エムツーエムインコーポレーテッド,エムツーエムインコーポレーテツド,13111,東京都大田区南千束１丁目１３－１４,2018-06-21T15:00:00.000Z
6700150007636,ＳＧＦ　Ａｓｓｏｃｉａｔｅｓ　Ｉｎｃｏｒｐｏｒａｔｉｏｎ,エスジーエフアソシエーツインコーポレーシヨン,13103,東京都港区芝浦２丁目１４－１７ネオハイツ田町３０１号室,2018-12-19T15:00:00.000Z
5700150007637,エーピークリエイションインク,エーピークリエイシヨンインク,13111,東京都大田区上池台３丁目４２－４,2018-06-21T15:00:00.000Z
4700150007638,オフィス・リカ・インコーポレーテッド,オフイスリカインコーポレーテツド,13112,東京都世田谷区池尻３丁目１４番９号,2018-06-20T15:00:00.000Z
8700150007642,クロスナレッジ・コーポレーション,クロスナレツジコーポレーシヨン,13111,東京都大田区田園調布５丁目２９－２４－１０８号,2018-06-21T15:00:00.000Z
6700150007644,コナ・ドリーム・インク,コナドリームインク,13111,東京都大田区東雪谷２丁目２番１－７０３号,2018-06-21T15:00:00.000Z
4700150007646,ＳＩＤＤＨＩ　ＢＩＮＡＹＡＫ　ＥＸＰＯＲＴ＆ＩＭＰＯＲＴ,シデイビナヤツクエクスポートアンドインポート,13111,東京都大田区南雪谷３丁目２２番１０号,2018-06-20T15:00:00.000Z
9700150007658,ＨＡＩ　Ｉｎｔｅｒｎａｔｉｏｎａｌ，Ｉｎｃ．,ハイインターナシヨナルインク,13111,東京都大田区北千束１丁目１３－１３,2018-06-21T15:00:00.000Z
6700150007677,アジアコープインターナショナルリミテッド,アジアコープインターナシヨナルリミテツド,13111,東京都大田区西蒲田７丁目４１番５号遠藤ビル３階,2018-06-21T15:00:00.000Z
4700150007679,インドコスモシステムプライベートリミテッド,インドコスモシステムプライベートリミテツド,13111,東京都大田区大森東１丁目１－１９ブラザーハイツ平和島７０１号,2019-05-23T15:00:00.000Z
9700150007682,エアアジア・エックス・バハッド,エアアジアエツクスバハツド,13111,東京都大田区羽田空港２丁目６番５号Ｓ７ＫＯ,2019-03-28T15:00:00.000Z
3700150007688,Ｂｏｍｂａｒｄｉｅｒ　Ａｅｒｏｓｐａｃｅ　Ｓｅｒｖｉｃｅｓ　Ｌｉｍｉｔｅｄ,ボンバルデイアエアロスペースサービシズリミテツド,13103,東京都港区南麻布４丁目１１番２２号南麻布Ｔ＆Ｆビル,2020-11-30T15:00:00.000Z
6700150007693,Ｃａｎｏｎ　Ｉｎｄｉａ　Ｐｒｉｖａｔｅ　Ｌｉｍｉｔｅｄ,キヤノンインデイアプライベイトリミテツド,13111,東京都大田区下丸子３丁目３０－２,2018-06-21T15:00:00.000Z
5700150007703,スミタ・トレディング・プライベート・リミテド,スミタトレデイングプライベートリミテド,13111,東京都大田区西蒲田４丁目１５－６,2018-06-21T15:00:00.000Z
4700150007712,Ｔｒａｄｅｘ　Ｉｎｔｅｒｎａｔｉｏｎａｌ．Ｐｖｔ．Ｌｔｄ,トラデツクスインターナシヨナルプライベトリミテド,13111,東京都大田区下丸子３丁目２０－２０,2018-06-20T15:00:00.000Z
3700150007713,Ｉ＆Ｃ株式会社,アイアンドシーカブシキガイシヤ,13111,東京都大田区新蒲田１丁目７－４,2018-06-20T15:00:00.000Z
2700150007722,ハロシーインク,ハロシーインク,13111,東京都大田区蒲田本町２丁目８－１,2018-06-20T15:00:00.000Z
