sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
1,1010001002836,登記記録の閉鎖等,0,2021-12-01,2021-11-29,株式会社講談社コミッククリエイト,00049093,株式会社,東京都,文京区,音羽１丁目１７番１８号,,13,105,1120013,,,2021-11-29,清算の結了等,,,2015-10-05,1,,,,,コウダンシャコミッククリエイト,0
14,1010003031008,登記記録の閉鎖等,0,2021-12-01,2021-11-25,合同会社ＫＲＦ８９,,合同会社,東京都,千代田区,内幸町２丁目１番６号,,13,101,1000011,,,2021-11-25,清算の結了等,,,2019-11-07,1,,,,,ケイアールエフエイティナイン,0
24,1010401131193,登記記録の閉鎖等,0,2021-12-01,2021-11-24,株式会社コナ,,株式会社,東京都,港区,南青山４丁目１番１５－８０２号,,13,103,1070062,,,2021-11-24,清算の結了等,,,2017-05-12,1,,,,,コナ,0
36,1010905003392,登記記録の閉鎖等,0,2021-12-01,2021-11-24,一般社団法人日本流通管理支援機構,,その他の設立登記法人,東京都,世田谷区,北沢２丁目３０番８号,,13,112,1550031,,,2021-11-24,清算の結了等,,,2017-05-11,1,,,,,ニホンリュウツウカンリシエンキコウ,0
40,1011001132383,登記記録の閉鎖等,0,2021-12-01,2021-11-22,ＷｏｒｋＢａｓｅ株式会社,,株式会社,東京都,渋谷区,広尾５丁目１９番１１号,,13,113,1500012,,,2021-11-22,清算の結了等,,,2020-02-14,1,,,,,ワークベース,0
66,1011802021512,登記記録の閉鎖等,0,2021-12-01,2021-11-30,有限会社中島歯研,,有限会社,東京都,葛飾区,立石７丁目３番１１号,,13,122,1240012,,,2021-11-30,清算の結了等,,,2015-10-05,1,,,,,,0
82,1021002020859,登記記録の閉鎖等,0,2021-12-01,2021-11-26,有限会社三輪ビニール,,有限会社,神奈川県,相模原市南区,上鶴間１丁目７番５０号,,14,153,2520302,,,2021-11-26,清算の結了等,,,2015-10-05,1,,,,,ミワビニール,0
85,1030001059899,登記記録の閉鎖等,0,2021-12-01,2021-11-30,インターメディア・インフィニティ株式会社,,株式会社,埼玉県,加須市,花崎北２丁目１６番地１Ｃ－９０１,,11,210,3470016,,,2021-11-30,清算の結了等,,,2015-10-05,1,,,,,インターメディアインフィニティ,0
94,1030002032814,登記記録の閉鎖等,0,2021-12-01,2021-11-26,有限会社ケイ・エム・ティー,,有限会社,埼玉県,所沢市,大字下富１４４５番１９,,11,208,3590001,,,2021-11-26,清算の結了等,,,2015-10-05,1,,,,,ケイエムティー,0
95,1030002093534,登記記録の閉鎖等,0,2021-12-01,2021-11-25,有限会社花の木,,有限会社,埼玉県,鶴ヶ島市,富士見２丁目１３番１１号,,11,241,3502201,,,2021-11-25,清算の結了等,,,2015-10-05,1,,,,,ハナノキ,0
118,1050001042093,登記記録の閉鎖等,0,2021-12-01,2021-11-29,エス・オー・シー株式会社,,株式会社,茨城県,ひたちなか市,大字堀口５９９番地の２,,08,221,3120034,,,2021-11-29,清算の結了等,,,2017-01-16,1,,,,,エスオーシー,0
127,1080101003439,登記記録の閉鎖等,0,2021-12-01,2021-11-29,株式会社わかば,,株式会社,静岡県,沼津市,双葉町７番１４号ルネッサファミーユ３０３号,,22,203,4100005,,,2021-11-29,清算の結了等,,,2015-10-05,1,,,,,ワカバ,0
135,1110001009747,登記記録の閉鎖等,0,2021-12-01,2021-11-29,株式会社ＫＯＵＤＥＮ,,株式会社,新潟県,新潟市秋葉区,古田４丁目６番１５号,,15,105,9560025,,,2021-11-29,清算の結了等,,,2015-10-05,1,,,,,コウデン,0
138,1110002004689,登記記録の閉鎖等,0,2021-12-01,2021-11-26,有限会社新潟オガ販,,有限会社,新潟県,新潟市東区,新松崎２丁目１９番１６号,,15,102,9500017,,,2021-11-26,清算の結了等,,,2015-10-05,1,,,,,ニイガタオガハン,0
