date,ndiff,ncreated,nterminated,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47
2021-10-11,3007,646,299,9,1,2,9,0,3,3,8,10,5,27,43,181,38,5,5,0,3,1,7,5,12,40,4,3,5,56,46,1,1,3,0,14,6,2,1,2,4,3,43,3,6,5,3,1,5,12,11,2,1,8,2,1,8,1,4,6,13,10,65,19,6,7,0,2,0,11,5,8,18,4,3,8,23,12,3,1,0,0,2,5,3,1,3,1,0,6,0,5,2,1,0,4,4
2021-10-12,3053,624,253,13,1,5,8,2,1,6,12,10,5,14,26,182,28,2,3,1,9,0,6,10,12,50,2,6,16,61,16,3,6,1,4,5,14,6,4,6,2,3,30,2,11,1,6,3,2,8,17,1,3,5,1,5,4,6,6,0,10,4,53,14,2,5,2,1,0,3,6,5,19,1,2,0,23,10,2,0,1,0,1,7,2,0,4,1,0,11,1,2,4,4,1,2,2
2021-10-13,2949,691,249,23,2,0,11,0,5,11,13,1,9,52,34,205,52,4,2,5,1,12,5,4,7,35,3,2,6,56,32,10,1,1,0,1,3,3,0,3,1,0,38,2,1,7,7,3,5,12,15,2,1,3,1,2,1,1,0,9,10,7,69,14,4,4,0,2,2,1,2,7,15,1,1,3,22,8,1,0,0,2,7,2,1,1,2,1,1,7,0,1,5,6,3,1,1
2021-10-14,2574,481,269,16,0,0,3,2,2,2,2,6,1,26,30,142,26,9,2,0,0,2,3,3,8,22,8,0,5,51,25,4,5,0,1,8,4,1,2,2,2,1,30,2,0,5,4,2,4,4,11,4,0,5,0,3,2,7,3,3,6,6,58,23,2,1,1,3,1,7,3,9,21,2,2,5,22,11,1,2,0,2,5,5,1,5,2,0,0,9,0,0,3,1,3,8,1
2021-10-15,2664,472,212,8,1,0,2,4,3,2,4,16,4,25,12,155,33,4,7,4,1,1,1,9,9,23,5,9,6,56,15,2,6,0,0,5,4,2,0,1,1,1,14,1,2,3,3,1,5,1,13,0,2,4,0,2,3,7,5,1,12,6,47,9,3,1,2,2,0,3,1,3,17,3,0,5,25,9,0,0,0,2,3,3,1,1,1,1,0,6,0,2,0,0,1,1,5
2021-10-18,2670,517,253,28,0,1,0,0,2,8,8,2,5,32,15,176,31,3,0,4,4,3,3,7,7,22,6,4,11,34,24,4,1,1,1,3,5,5,0,5,2,0,19,3,5,5,3,5,8,2,10,0,1,4,0,3,3,1,2,2,40,6,59,15,7,2,0,1,1,2,7,9,14,2,0,5,13,9,2,1,0,1,5,5,1,0,2,2,1,3,3,1,1,0,2,3,2
2021-10-19,2603,493,200,10,3,2,7,2,2,1,9,0,3,31,21,133,45,4,1,2,2,4,15,2,10,28,2,5,5,55,18,8,3,1,0,2,7,2,0,3,2,0,18,1,5,3,5,1,0,10,6,3,1,5,0,4,3,4,0,2,5,7,51,16,7,1,1,3,2,3,5,7,7,4,0,1,16,4,0,0,0,0,1,4,1,2,1,3,0,12,1,2,1,0,3,1,0
2021-10-20,2645,425,279,9,1,2,4,0,1,4,8,6,3,24,19,139,24,5,1,5,0,0,0,2,12,26,1,1,6,33,18,3,2,0,1,1,4,1,0,2,1,1,27,1,1,11,2,1,2,7,12,3,2,4,0,0,7,4,2,2,14,4,65,14,7,2,0,2,0,6,5,6,15,4,2,4,26,16,2,0,8,1,6,4,0,3,0,3,1,5,1,2,2,3,3,3,4
2021-10-21,2417,400,230,14,1,1,2,0,5,2,2,0,2,19,20,136,10,2,2,2,1,0,7,11,6,24,7,2,5,32,18,6,1,1,1,6,7,0,1,6,3,1,12,0,1,2,3,4,4,8,6,2,1,6,2,4,2,6,4,2,14,12,64,19,5,1,3,0,0,2,6,7,7,5,1,0,10,6,1,2,0,1,0,3,1,0,3,1,5,3,2,0,2,3,0,2,4
2021-10-22,2625,549,239,19,3,2,2,0,3,4,7,4,9,28,2,166,38,2,1,4,4,1,9,8,12,24,5,5,11,60,24,1,4,0,0,4,20,6,2,5,5,2,15,0,2,17,1,2,4,2,8,2,3,7,2,0,3,5,4,5,14,8,64,16,2,2,3,1,1,4,2,3,5,1,0,5,14,5,0,1,1,0,3,4,4,3,1,1,1,16,0,2,3,0,2,6,2
2021-10-25,2425,499,243,24,3,0,1,2,3,2,0,3,1,38,39,132,38,4,9,2,1,0,6,1,12,25,5,5,14,31,21,5,0,0,1,3,5,5,1,4,0,0,23,2,2,3,3,6,4,10,10,3,2,5,1,1,1,5,1,1,11,12,57,15,5,4,5,1,0,7,8,5,5,3,1,4,13,7,4,1,1,2,5,5,3,2,4,0,0,12,0,2,2,3,1,2,1
2021-10-26,2531,421,216,17,0,1,7,0,1,1,12,2,4,14,22,146,23,0,1,0,0,1,4,1,3,24,2,4,3,45,19,5,1,0,0,9,4,1,2,1,1,1,20,1,1,3,3,1,3,5,1,0,4,10,0,0,2,6,3,6,14,4,44,15,5,3,0,2,0,1,5,3,11,6,1,1,28,7,1,0,0,3,2,5,0,0,2,1,0,12,0,1,4,1,1,0,1
2021-10-27,2409,431,225,6,4,3,4,1,0,2,8,4,1,21,16,137,17,2,1,3,3,6,4,7,13,17,5,2,12,37,15,3,4,2,2,10,8,0,1,0,2,0,22,2,3,5,4,3,7,2,3,1,1,5,0,1,1,1,2,2,17,11,61,12,3,2,0,3,1,1,3,12,16,2,2,4,8,7,1,1,0,2,1,3,4,2,1,0,2,10,1,2,1,0,0,2,8
2021-10-28,2361,502,164,27,0,4,13,1,0,6,6,1,5,19,23,141,39,1,1,0,3,1,5,8,10,29,3,1,13,50,8,3,2,1,2,8,4,2,1,2,5,2,20,2,2,4,3,2,5,14,5,0,0,1,1,2,1,1,3,3,13,10,42,11,2,0,1,1,0,5,2,5,5,1,2,3,14,1,2,0,0,0,2,1,2,0,1,2,1,13,0,3,1,1,0,0,0
2021-10-29,2551,562,154,26,2,0,12,3,3,1,14,10,4,21,18,170,39,2,3,8,0,2,2,8,8,16,5,7,6,64,15,2,3,1,0,7,6,4,1,6,1,1,28,3,4,8,5,2,6,5,2,3,2,4,0,1,3,1,2,0,8,6,37,11,5,5,3,1,2,4,1,5,13,5,0,2,7,3,2,0,2,0,1,0,1,0,1,2,0,3,1,2,2,0,0,1,0
2021-11-01,2553,483,204,6,0,4,7,1,2,0,8,6,5,29,18,140,27,1,2,4,7,5,6,6,8,21,3,6,9,38,16,3,0,0,3,5,6,6,1,6,1,3,38,3,2,1,3,4,5,8,14,2,1,4,1,3,2,2,1,3,8,12,51,10,1,0,3,1,2,3,1,3,9,2,2,4,11,13,0,3,0,1,4,2,2,3,1,2,0,6,2,2,2,2,2,0,1
2021-11-02,2849,794,214,20,0,4,11,2,4,4,9,4,11,25,22,206,42,10,2,12,5,0,8,15,24,31,5,14,16,82,33,9,7,1,2,16,24,8,4,5,10,1,31,0,9,15,8,5,11,7,16,1,1,2,1,0,0,2,2,0,18,5,50,15,3,1,1,1,0,5,7,6,12,3,1,4,8,7,0,3,0,4,2,3,2,1,1,2,1,7,2,1,1,1,3,2,6
2021-11-04,3499,1116,209,37,2,4,19,4,12,5,11,9,18,40,30,246,75,16,4,16,8,0,17,15,34,77,26,13,27,106,32,9,6,2,12,13,24,12,7,11,17,3,17,1,13,23,9,9,11,14,6,4,0,3,0,3,2,4,1,3,10,3,46,15,2,5,2,0,0,6,4,8,24,1,3,6,8,5,2,2,0,0,2,5,0,2,2,2,0,3,0,0,5,4,1,2,3
2021-11-05,3305,1006,198,33,10,1,8,0,3,16,22,11,7,73,42,230,72,5,3,3,6,10,10,6,24,42,8,4,18,112,53,8,3,4,1,6,14,11,2,7,5,1,43,9,2,19,4,10,6,19,4,2,2,2,0,0,2,3,2,5,3,10,54,8,5,1,2,3,2,3,8,4,12,3,1,4,16,8,1,0,0,1,4,4,1,3,0,0,3,2,0,5,1,2,1,1,0
2021-11-08,3031,745,259,30,1,1,13,1,4,5,24,16,6,37,40,219,45,3,7,1,2,0,3,11,6,78,1,3,11,49,14,3,0,0,0,1,13,0,1,2,2,1,46,6,0,8,1,5,7,13,4,0,1,4,0,2,8,3,2,5,12,4,59,19,7,3,2,1,1,2,10,17,14,2,3,1,20,10,0,1,2,2,1,4,1,2,3,4,3,8,0,2,1,1,4,1,3
2021-11-09,2832,468,241,10,0,0,5,2,2,1,1,4,4,27,27,130,46,5,8,1,0,1,0,0,10,38,5,3,5,42,12,0,1,0,0,4,3,6,2,2,2,0,33,1,5,4,2,1,9,4,3,6,1,2,0,1,8,1,1,2,8,7,69,24,3,1,2,0,0,4,3,5,17,1,2,7,24,4,0,2,1,2,1,3,4,0,4,2,1,9,0,2,2,0,1,1,0
2021-11-10,2669,444,242,9,2,2,2,2,2,4,9,10,1,24,14,151,25,3,6,1,1,1,2,2,4,22,2,3,6,37,14,2,0,3,1,5,9,2,1,3,2,1,36,2,1,0,0,1,4,10,11,0,3,3,1,0,2,6,5,1,21,13,59,24,0,3,5,0,1,2,1,6,6,2,0,4,14,10,0,2,0,0,2,13,1,1,2,1,1,7,0,0,2,0,1,5,1
2021-11-11,2589,404,250,14,0,6,6,3,1,1,3,1,5,21,11,160,14,4,3,0,0,3,7,4,5,12,1,4,6,27,17,7,2,1,0,4,2,3,0,2,0,0,22,1,4,4,2,1,3,7,12,1,1,2,3,0,4,1,2,4,15,6,55,16,2,2,0,2,6,7,4,8,17,3,1,6,17,6,2,2,0,2,1,5,2,0,4,0,2,11,0,1,8,0,4,0,3
2021-11-12,2489,400,254,15,1,0,0,2,1,3,2,1,2,11,32,141,24,2,4,0,0,5,3,2,8,14,3,6,3,38,15,1,3,1,1,8,7,1,1,1,1,2,12,2,4,5,1,1,5,5,12,3,1,0,1,4,2,4,5,1,14,13,67,20,2,5,2,1,0,2,4,8,10,4,0,5,14,7,1,3,1,2,3,4,2,2,4,0,0,13,1,3,0,1,0,0,3
2021-11-15,2625,568,204,14,1,5,4,1,5,2,10,2,6,11,12,151,38,2,5,2,2,1,2,13,19,34,12,4,8,64,20,7,5,2,3,12,18,1,1,1,4,2,27,0,1,4,6,2,9,13,6,4,1,4,3,2,3,3,3,2,10,7,56,7,1,2,1,1,1,6,7,6,13,4,0,6,16,11,1,0,1,2,0,2,2,0,1,0,0,2,0,3,0,0,1,3,0
