sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
10,1010401063321,登記記録の閉鎖等,0,2026-04-28,2026-04-02,ガデリウス・ホールディング株式会社,,株式会社,東京都,港区,赤坂７丁目１番１号,,13,103,1070052,,,2026-04-02,合併による解散等,4010401034575,令和８年４月１日東京都港区赤坂七丁目１番１号ガデリウス株式会社（4010401034575）に合併し解散,2015-10-05,1,,,,,ガデリウスホールディング,0
16,1010401087114,登記記録の閉鎖等,0,2026-04-28,2026-03-31,株式会社プレジョワ,,株式会社,東京都,港区,南青山６丁目７番７号ファーロ南青山４０１,,13,103,1070062,,,2026-03-31,清算の結了等,,,2015-10-05,1,,,,,プレジョワ,0
30,1010405024526,登記記録の閉鎖等,0,2026-04-28,2026-04-03,ジャパン・カラサワ特定目的会社,,その他の設立登記法人,東京都,港区,虎ノ門３丁目２２番１０－２０１号,,13,103,1050001,,,2026-04-03,清算の結了等,,,2025-07-01,1,,,,,ジャパンカラサワ,0
34,1010601030047,登記記録の閉鎖等,0,2026-04-28,2026-04-24,株式会社地銀ＩＴソリューション,,株式会社,東京都,江東区,東陽７丁目２番１４号,,13,108,1350016,,,2026-04-24,合併による解散等,3010601042627,令和８年４月１日東京都港区虎ノ門二丁目６番１号日本アイ・ビー・エムデジタルサービス株式会社（3010601042627）に合併し解散,2015-10-05,1,,,,,チギンアイティーソリューション,0
71,1011101075219,登記記録の閉鎖等,0,2026-04-28,2026-04-15,インフォマネージ株式会社,,株式会社,東京都,新宿区,新宿７丁目１８－３プランドール新宿２０４,,13,104,1600022,,,2026-04-15,清算の結了等,,,2015-11-24,1,,,,,インフォマネージ,0
72,1011101079129,登記記録の閉鎖等,0,2026-04-28,2026-04-21,株式会社ＰＴＮ,,株式会社,東京都,品川区,東品川１丁目２番５号,,13,109,1400002,,,2026-04-21,合併による解散等,3240001041231,令和８年４月１日広島市中区紙屋町二丁目１番１８号株式会社エディオン（3240001041231）に合併し解散,2016-12-28,1,,,,,ピーティーエヌ,0
78,1011102021881,登記記録の閉鎖等,0,2026-04-28,2026-04-22,有限会社コングロマリット,,有限会社,東京都,新宿区,西新宿４丁目３２番６号パークグレース新宿２０８,,13,104,1600023,,,2026-04-22,清算の結了等,,,2015-10-05,1,,,,,コングロマリット,0
79,1011103008366,登記記録の閉鎖等,0,2026-04-28,2026-04-03,ＣＳ熊本益城２合同会社,,合同会社,東京都,港区,虎ノ門２丁目４番７号Ｔ－ＬＩＴＥ１３階,,13,103,1050001,,,2026-04-03,清算の結了等,,,2018-11-08,1,,,,,シーエスクマモトマシキニ,0
81,1011201015149,登記記録の閉鎖等,0,2026-04-28,2026-04-10,中日本施設管理株式会社,,株式会社,東京都,中野区,本町１丁目３２番２号,,13,114,1640012,,,2026-04-10,合併による解散等,6011201004072,令和８年４月１日東京都中野区本町一丁目３２番２号株式会社ジェイファスト（6011201004072）に合併し解散,2015-10-05,1,,,,,ナカニホンシセツカンリ,0
101,1020001024549,登記記録の閉鎖等,0,2026-04-28,2026-04-08,三ツ澤電設株式会社,,株式会社,神奈川県,横浜市神奈川区,三ツ沢下町１０番１４号,,14,102,2210852,,,2026-04-08,清算の結了等,,,2018-03-05,1,,,,,ミツザワデンセツ,0
