sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
7,1010001173215,登記記録の閉鎖等,0,2025-09-17,2025-08-25,時代線株式会社,,株式会社,東京都,中央区,銀座１丁目１４－７銀座吉澤ビル３階,,13,102,1040061,,,2025-08-25,清算の結了等,,,2016-01-29,1,,,,,ジダイセン,0
25,1010401171082,登記記録の閉鎖等,0,2025-09-17,2025-09-11,Ｒｏｏｔ　ｏｆ　Ｔｒｕｓｔ株式会社,,株式会社,東京都,港区,虎ノ門４丁目１番１号神谷町トラストタワー２３Ｆ,,13,103,1050001,,,2025-09-11,合併による解散等,8010001254685,令和７年９月１日東京都千代田区大手町一丁目６番１号データトラスト株式会社（8010001254685）に合併し解散,2022-12-01,1,,,,,ルートオブトラスト,0
26,1010401171578,登記記録の閉鎖等,0,2025-09-17,2025-08-25,ＩＰｗｅ　Ｊａｐａｎ株式会社,,株式会社,東京都,港区,元麻布３丁目１番６号,,13,103,1060046,,,2025-08-25,清算の結了等,,,2022-12-28,1,,,,,アイピーウィージャパン,0
36,1010801019955,登記記録の閉鎖等,0,2025-09-17,2025-08-12,株式会社デファクトスタンダード,,株式会社,東京都,大田区,平和島３丁目３番８号,,13,111,1430006,,,2025-08-12,合併による解散等,8120002059081,令和７年７月１日東京都港区北青山二丁目５番８号株式会社ギャラリーレア（8120002059081）に合併し解散,2015-10-05,1,,,,,デファクトスタンダード,0
73,1011602007364,登記記録の閉鎖等,0,2025-09-17,2025-09-04,有限会社豊田自動車鈑金塗装,,有限会社,東京都,練馬区,石神井町４丁目１２番１１号,,13,120,1770041,,,2025-09-04,清算の結了等,,,2015-10-05,1,,,,,トヨタジドウシャバンキントソウ,0
85,1012701014053,登記記録の閉鎖等,0,2025-09-17,2025-09-10,株式会社わやたみ,,株式会社,東京都,小平市,小川西町３丁目２１番５号,,13,211,1870035,,,2025-09-10,清算の結了等,,,2016-12-16,1,,,,,ワヤタミ,0
87,1013202008032,登記記録の閉鎖等,0,2025-09-17,2025-08-19,有限会社アカトラ,,有限会社,東京都,目黒区,大橋２丁目１６番２５号,,13,110,1530044,,,2025-08-19,清算の結了等,,,2015-10-05,1,,,,,アカトラ,0
100,1030001023772,登記記録の閉鎖等,0,2025-09-17,2025-09-05,エムケイ株式会社,,株式会社,埼玉県,所沢市,けやき台２丁目４１番地の１,,11,208,3591118,,,2025-09-05,清算の結了等,,,2015-10-05,1,,,,,エムケイ,0
102,1030001089285,登記記録の閉鎖等,0,2025-09-17,2025-09-05,株式会社アサヒ企画,,株式会社,埼玉県,飯能市,大字川崎２６９番地の２,,11,209,3570011,,,2025-09-05,清算の結了等,,,2015-10-05,1,,,,,アサヒキカク,0
118,1040001080103,登記記録の閉鎖等,0,2025-09-17,2025-08-29,株式会社アウンデックスエンジニアリング,,株式会社,千葉県,船橋市,緑台１丁目５番１棟２０２号,,12,204,2740818,,,2025-08-29,清算の結了等,,,2015-10-05,1,,,,,アウンデックスエンジニアリング,0
