sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
10,1010001265103,新規,0,2026-05-12,2026-05-12,株式会社アクシスコア,,株式会社,東京都,千代田区,神田須田町１丁目７番８号ＶＯＲＴ秋葉原ＩＶ２Ｆ,00143524,13,101,1010041,,,,,,,2026-05-12,1,,,,,,0
19,1010401198571,新規,0,2026-05-12,2026-05-12,株式会社マキテン,,株式会社,東京都,港区,北青山１丁目３番３号三橋ビル３階,,13,103,1070061,,,,,,,2026-05-12,1,,,,,マキテン,0
20,1010401198588,新規,0,2026-05-12,2026-05-12,株式会社Ｐｒｏｓｍｅ,,株式会社,東京都,港区,東麻布２丁目３５番１号ＫＣビル６Ｆ,,13,103,1060044,,,,,,,2026-05-12,1,,,,,プロスミー,0
21,1010401198662,新規,0,2026-05-12,2026-05-12,ピスティス株式会社,,株式会社,東京都,港区,浜松町２丁目２番１５号浜松町ダイヤビル２Ｆ,,13,103,1050013,,,,,,,2026-05-12,1,,,,,ピスティス,0
22,1010405025581,新規,0,2026-05-12,2026-05-12,一般社団法人さくら政経塾,,その他の設立登記法人,東京都,港区,赤坂４丁目１番３２号,,13,103,1070052,,,,,,,2026-05-12,1,,,,,サクラセイケイジュク,0
25,1010601069192,新規,0,2026-05-12,2026-05-12,株式会社エンフェルーム,,株式会社,東京都,墨田区,横網２丁目８番１３－５０２号レフィールオーブ両国,,13,107,1300015,,,,,,,2026-05-12,1,,,,,エンフェルーム,0
27,1010603012233,新規,0,2026-05-12,2026-05-12,Ｋ＆Ｓ　Ｔｒａｄｉｎｇ合同会社,,合同会社,東京都,墨田区,立花５丁目４４番１６号,,13,107,1310043,,,,,,,2026-05-12,1,,,,,ケーアンドエストレーディング,0
28,1010701049466,新規,0,2026-05-12,2026-05-12,株式会社ｐｏｍ,,株式会社,東京都,品川区,南大井５丁目５番１１号,,13,109,1400013,,,,,,,2026-05-12,1,,,,,ポム,0
31,1010901059505,新規,0,2026-05-12,2026-05-12,株式会社Ｐｌａｔｉｎｕｍ・Ｋ,,株式会社,東京都,世田谷区,北沢３丁目６番９－３０３号,,13,112,1550031,,,,,,,2026-05-12,1,,,,,プラチナケー,0
37,1011001177321,新規,0,2026-05-12,2026-05-12,釣部東京株式会社,,株式会社,東京都,目黒区,鷹番２丁目１６－１４ラディアスＲビル３Ｂ,,13,110,1520004,,,,,,,2026-05-12,1,,,,,ツリブトウキョウ,0
38,1011001177362,新規,0,2026-05-12,2026-05-12,ＵＮＰＲＯＬＯＧＵＥ株式会社,,株式会社,東京都,渋谷区,恵比寿西２丁目８番４号ＥＸ恵比寿西ビル５階,,13,113,1500021,,,,,,,2026-05-12,1,,,,,アンプロローグ,0
42,1011003024224,新規,0,2026-05-12,2026-05-12,合同会社ＢＥＮＰＲＯＪＥＣＴ,,合同会社,東京都,渋谷区,道玄坂１丁目１０番８号渋谷道玄坂東急ビル２Ｆ－Ｃ,,13,113,1500043,,,,,,,2026-05-12,1,,,,,ベンプロジェクト,0
45,1011101115817,新規,0,2026-05-12,2026-05-12,株式会社ＬＵＭＩＮＩＡ．,,株式会社,東京都,新宿区,百人町２丁目６番７号ラクトヴィルディング１０５,,13,104,1690073,,,,,,,2026-05-12,1,,,,,ルミニア,0
