sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
3,1010001129737,登記記録の閉鎖等,0,2023-09-14,2023-09-07,エス・テイ株式会社,,株式会社,東京都,中央区,佃２丁目１番２－２１１１号,,13,102,1040051,,,2023-09-07,清算の結了等,,,2015-10-05,1,,,,,エステイ,0
10,1010001217211,登記記録の閉鎖等,0,2023-09-14,2023-09-07,ファーマロン・クリニカルサービス株式会社,,株式会社,東京都,中央区,銀座６丁目１０番１号,,13,102,1040061,,,2023-09-07,清算の結了等,,,2021-04-09,1,,,,,ファーマロンクリニカルサービス,0
12,1010002011299,登記記録の閉鎖等,0,2023-09-14,2023-09-08,有限会社自動車部品出版,,有限会社,東京都,千代田区,六番町１３番地５－２Ｅ,,13,101,1020085,,,2023-09-08,清算の結了等,,,2015-10-05,1,,,,,ジドウシャブヒンシュッパン,0
29,1010405017447,登記記録の閉鎖等,0,2023-09-14,2023-09-08,宇田川ホールディング１一般社団法人,,その他の設立登記法人,東京都,港区,虎ノ門３丁目２２番１０－２０１号,,13,103,1050001,,,2023-09-08,清算の結了等,,,2019-02-14,1,,,,,ウダガワホールディングワン,0
36,1010802002415,登記記録の閉鎖等,0,2023-09-14,2023-09-11,有限会社エフメック,,有限会社,東京都,大田区,北糀谷１丁目２０番９号,,13,111,1440032,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,,0
50,1011001135997,登記記録の閉鎖等,0,2023-09-14,2023-09-11,株式会社ＣＴＫホールディング,,株式会社,東京都,渋谷区,広尾１丁目１番３９号,,13,113,1500012,,,2023-09-11,清算の結了等,,,2020-09-29,1,,,,,シーティーケーホールディング,0
69,1013201005807,登記記録の閉鎖等,0,2023-09-14,2023-09-11,株式会社メーキャップルーム,,株式会社,東京都,目黒区,東が丘１丁目１１番３号,,13,110,1520021,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,メーキャップルーム,0
70,1013301002761,登記記録の閉鎖等,0,2023-09-14,2023-09-11,株式会社熊澤建設,,株式会社,東京都,豊島区,西池袋５丁目５番２１－１００４号,,13,116,1710021,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,クマザワケンセツ,0
89,1030001025109,登記記録の閉鎖等,0,2023-09-14,2023-09-11,株式会社ミツマ,,株式会社,埼玉県,所沢市,北原町８６７番地２,,11,208,3590004,,,2023-09-11,合併による解散等,4010001233602,令和５年９月１日東京都千代田区紀尾井町４番１号ニューオータニガーデンコート９階株式会社ミツマ（4010001233602）に合併し解散,2015-10-05,1,,,,,ミツマ,0
95,1030001107518,登記記録の閉鎖等,0,2023-09-14,2023-09-11,株式会社ヘキサメディア,,株式会社,埼玉県,川口市,飯塚１丁目２番１１号川口テラス２０１号,,11,203,3320023,,,2023-09-11,合併による解散等,8011101088255,令和５年９月１日東京都新宿区西新宿二丁目１番１号株式会社ＪＤＲＯＮＥ（8011101088255）に合併し解散,2015-10-05,1,,,,,ヘキサメディア,0
101,1030002038704,登記記録の閉鎖等,0,2023-09-14,2023-08-21,有限会社ダイコー,,有限会社,埼玉県,白岡市,西１０丁目２番２号,,11,246,3490205,,,2023-08-21,清算の結了等,,,2015-10-05,1,,,,,ダイコー,0
118,1110001024416,登記記録の閉鎖等,0,2023-09-14,2023-09-12,株式会社ソガ金森,,株式会社,新潟県,長岡市,栃尾宮沢１２６６番地,,15,202,9400233,,,2023-09-12,合併による解散等,4230001009872,令和５年９月１日富山県高岡市昭和町一丁目４番１号金森産業株式会社（4230001009872）に合併し解散,2015-10-05,1,,,,,ソガカナモリ,0
120,1110002009754,登記記録の閉鎖等,0,2023-09-14,2023-09-11,有限会社ボディショップばん,,有限会社,新潟県,新潟市秋葉区,善道町２丁目１３番１１号,,15,105,9560865,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,ボディショップバン,0
125,1120001150104,登記記録の閉鎖等,0,2023-09-14,2023-09-11,高橋開発ホームテック株式会社,,株式会社,大阪府,枚方市,三栗１丁目１番２４－１０３号,,27,210,5731171,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,タカハシカイハツホームテック,0
129,1120002066852,登記記録の閉鎖等,0,2023-09-14,2023-09-11,有限会社智琳,,有限会社,奈良県,奈良市,西大寺本町１番５号,,29,201,6310816,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,チリン,0
139,1120902019760,登記記録の閉鎖等,0,2023-09-14,2023-09-11,有限会社ほりば,,有限会社,大阪府,豊中市,東豊中町５丁目３５番７号,,27,203,5600003,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,ホリバ,0
141,1122002005848,登記記録の閉鎖等,0,2023-09-14,2023-09-13,有限会社インテス,,有限会社,大阪府,東大阪市,菱屋東１丁目１３番８号,,27,227,5780948,,,2023-09-13,清算の結了等,,,2015-10-05,1,,,,,インテス,0
170,1170001012869,登記記録の閉鎖等,0,2023-09-14,2023-08-28,橋本ソーラー発電所株式会社,,株式会社,東京都,港区,元赤坂１丁目１番７号,,13,103,1070051,,,2023-08-28,清算の結了等,,,2015-10-05,1,,,,,ハシモトソーラーハツデンショ,0
177,1180003012271,登記記録の閉鎖等,0,2023-09-14,2023-09-11,合資会社ウエマツ,,合資会社,愛知県,稲沢市,長野１丁目１番１号,,23,220,4928142,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,ウエマツ,0
179,1180003023483,登記記録の閉鎖等,0,2023-09-14,2023-09-11,合同会社白鯨,,合同会社,愛知県,名古屋市中区,栄１丁目６番１５号グランドメゾン御園座タワー１６０１号,,23,106,4600008,,,2023-09-11,清算の結了等,,,2022-02-17,1,,,,,ハクゲイ,0
183,1180301018854,登記記録の閉鎖等,0,2023-09-14,2023-09-04,トヨタ映像企画株式会社,,株式会社,愛知県,豊田市,神明町１丁目２９番地,,23,211,4710028,,,2023-09-04,清算の結了等,,,2015-10-05,1,,,,,トヨタエイゾウキカク,0
185,1180302024612,登記記録の閉鎖等,0,2023-09-14,2023-08-31,有限会社中西商店,,有限会社,愛知県,豊田市,有間町宇内戸２９番地,,23,211,4442827,,,2023-08-31,清算の結了等,,,2015-10-05,1,,,,,ナカニシショウテン,0
209,1360002022170,登記記録の閉鎖等,0,2023-09-14,2023-09-11,有限会社瑞宝土木,,有限会社,沖縄県,宮古島市,平良字久貝９１０番地の５,,47,214,9060015,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,ズイホウドボク,0
233,1700150010454,登記記録の閉鎖等,0,2023-09-14,2021-02-03,日本金属プレス工業　厚生年金基金,,その他,東京都,墨田区,両国４丁目３０番７号金属プレス会館７階,,13,107,1300026,,,2021-02-03,その他の清算の結了等,,,2015-10-09,1,,,,,ニホンキンゾクプレスコウギヨウコウセイネンキンキキン,0
234,1700150080860,登記記録の閉鎖等,0,2023-09-14,2022-07-31,飛騨山脈ジオパーク推進協議会,,その他,岐阜県,高山市,奥飛騨温泉郷村上１６８９－３,,21,203,5061431,,,2022-07-31,その他の清算の結了等,,,2017-02-14,1,,,,,ヒダサンミヤクジオパークスイシンキヨウギカイ,0
235,1700150101294,登記記録の閉鎖等,0,2023-09-14,2023-05-18,ヒヤミカチ沖縄ｐｒｏｊｅｃｔ実行委員会,,その他,沖縄県,那覇市,上之屋１丁目１８番３６号沖縄映像センタービル４階,,47,201,9000011,,,2023-05-18,その他の清算の結了等,,,2020-12-08,1,,,,,ヒヤミカチオキナワプロジエクトジツコウイインカイ,0
236,1700150107589,登記記録の閉鎖等,0,2023-09-14,2022-12-31,スタジオパフォ,,その他,沖縄県,那覇市,久茂地２丁目４番１６号,,47,201,9000015,,,2022-12-31,その他の清算の結了等,,,2022-03-31,1,,,,,スタジオパフオ,0
244,2010001105274,登記記録の閉鎖等,0,2023-09-14,2023-09-06,株式会社理工出版社,,株式会社,東京都,千代田区,飯田橋３丁目１１番２２号,,13,101,1020072,,,2023-09-06,清算の結了等,,,2015-10-05,1,,,,,リコウシュッパンシャ,0
319,2020002091802,登記記録の閉鎖等,0,2023-09-14,2023-09-06,有限会社エイペックス,,有限会社,神奈川県,川崎市多摩区,東三田３丁目３番１７号,,14,135,2140033,,,2023-09-06,清算の結了等,,,2015-10-05,1,,,,,エイペックス,0
322,2020005013456,登記記録の閉鎖等,0,2023-09-14,2023-09-05,一般社団法人健康自立支援機構,,その他の設立登記法人,神奈川県,横浜市青葉区,新石川１丁目６番地２－３０２,,14,117,2250003,,,2023-09-05,清算の結了等,,,2018-01-11,1,,,,,,0
326,2021001048165,登記記録の閉鎖等,0,2023-09-14,2023-09-07,株式会社ジェーエスパワー・ジャパン,,株式会社,神奈川県,秦野市,室町８番４号,,14,211,2570033,,,2023-09-07,清算の結了等,,,2015-10-05,1,,,,,ジェーエスパワージャパン,0
328,2021001054139,登記記録の閉鎖等,0,2023-09-14,2023-09-07,株式会社ＭＡＳＴ,,株式会社,神奈川県,足柄下郡湯河原町,宮下６７９番地,,14,384,2590304,,,2023-09-07,清算の結了等,,,2015-10-05,1,,,,,マスト,0
331,2021002053346,登記記録の閉鎖等,0,2023-09-14,2023-09-07,有限会社柳下工作所,,有限会社,神奈川県,小田原市,飯泉１２７５番地,,14,206,2500863,,,2023-09-07,清算の結了等,,,2015-10-05,1,,,,,,0
344,2040001050138,登記記録の閉鎖等,0,2023-09-14,2023-08-31,株式会社福喜組,,株式会社,千葉県,八街市,榎戸２４６番地６,,12,230,2891106,,,2023-08-31,清算の結了等,,,2015-10-05,1,,,,,,0
358,2110001012444,登記記録の閉鎖等,0,2023-09-14,2023-09-08,株式会社天野印刷,,株式会社,新潟県,新発田市,富塚町３丁目２番１２号,,15,206,9570062,,,2023-09-08,清算の結了等,,,2015-10-05,1,,,,,アマノインサツ,0
359,2110002018192,登記記録の閉鎖等,0,2023-09-14,2023-09-11,有限会社江口金型設計製作所,,有限会社,新潟県,加茂市,柳町２丁目６番９号,,15,209,9591386,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,,0
366,2120001082536,登記記録の閉鎖等,0,2023-09-14,2023-09-11,株式会社精美設計事務所,,株式会社,大阪府,大阪市中央区,釣鐘町２丁目１番４号,,27,128,5400035,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,セイビセッケイケイジムショ,0
383,2130001056778,登記記録の閉鎖等,0,2023-09-14,2023-08-31,株式会社朝倉ゼミナール研究所,,株式会社,京都府,京都市右京区,西院高田町２３番地３－８０１,,26,108,6150031,,,2023-08-31,清算の結了等,,,2016-02-05,1,,,,,アサクラゼミナールケンキュウジョ,0
390,2140001078185,登記記録の閉鎖等,0,2023-09-14,2023-09-07,柿原電機工業株式会社,,株式会社,兵庫県,伊丹市,中央６丁目３番１５－２０１号,,28,207,6640851,,,2023-09-07,清算の結了等,,,2015-10-05,1,,,,,,0
415,2180002071846,登記記録の閉鎖等,0,2023-09-14,2023-09-08,有限会社シンポ工業,,有限会社,愛知県,瀬戸市,高根町２丁目８２番地の１,,23,204,4890931,,,2023-09-08,清算の結了等,,,2015-10-05,1,,,,,シンポコウギョウ,0
418,2180302013110,登記記録の閉鎖等,0,2023-09-14,2023-09-05,有限会社グロア,,有限会社,愛知県,豊川市,市田町大道下３４番地ボヌール大道下１０１号,,23,207,4420862,,,2023-09-05,清算の結了等,,,2015-10-05,1,,,,,グロア,0
419,2190001001605,登記記録の閉鎖等,0,2023-09-14,2023-09-07,ルモテック株式会社,,株式会社,三重県,津市,岩田２番８号,,24,201,5140838,,,2023-09-07,清算の結了等,,,2015-10-05,1,,,,,,0
427,2230003001301,登記記録の閉鎖等,0,2023-09-14,2023-09-11,青柳合同会社,,合同会社,富山県,氷見市,小杉１番地３,,16,205,9350424,,,2023-09-11,清算の結了等,,,2019-04-04,1,,,,,アオヤギ,0
433,2250001012166,登記記録の閉鎖等,0,2023-09-14,2023-09-07,株式会社Ｆｒｅｅ　Ｔｈｉｎｋｉｎｇ,,株式会社,山口県,岩国市,尾津町２丁目１４番４７号,,35,208,7400032,,,2023-09-07,清算の結了等,,,2015-10-05,1,,,,,フリーシンキング,0
444,2280002007856,登記記録の閉鎖等,0,2023-09-14,2023-09-11,有限会社渡辺左官興業,,有限会社,島根県,大田市,久手町刺鹿２５７８番地１,,32,205,6940052,,,2023-09-11,清算の結了等,,,2015-10-05,1,,,,,ワタナベサカンコウギョウ,0
