sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
29,1010401089952,登記記録の閉鎖等,0,2023-02-10,2023-02-07,株式会社ＴＳホテルズ,,株式会社,東京都,新宿区,高田馬場４丁目３８番２４号,,13,104,1690075,,,2023-02-07,合併による解散等,3130001051365,令和５年２月１日京都市南区東九条烏丸町１番地１株式会社サクラテラス（3130001051365）に合併し解散,2015-10-05,1,,,,,,0
34,1010401163716,登記記録の閉鎖等,0,2023-02-10,2023-01-30,株式会社Ｗｏｌｖｅｓ,,株式会社,東京都,港区,芝５丁目１３番１３号つるやビル５階,,13,103,1080014,,,2023-01-30,清算の結了等,,,2021-11-10,1,,,,,ウルブス,0
37,1010403013729,登記記録の閉鎖等,0,2023-02-10,2023-01-30,Ａｐｔｔｕｓ　Ｊａｐａｎ合同会社,,合同会社,東京都,港区,虎ノ門４丁目３番１号城山トラストタワー東京赤坂法律事務所内,,13,103,1050001,,,2023-01-30,清算の結了等,,,2015-10-05,1,,,,,アプタスジャパン,0
77,1011801025506,登記記録の閉鎖等,0,2023-02-10,2023-02-03,株式会社ディーランゲージ,,株式会社,東京都,足立区,皿沼３丁目２４番１１号,,13,121,1230862,,,2023-02-03,清算の結了等,,,2015-10-05,1,,,,,ディーランゲージ,0
85,1020001083628,登記記録の閉鎖等,0,2023-02-10,2023-02-07,株式会社Ｔｏｔａｌ　Ｅｃｌｉｐｓｅ,,株式会社,神奈川県,川崎市幸区,大宮町２８番地２,,14,132,2120014,,,2023-02-07,清算の結了等,,,2015-10-05,1,,,,,トータルイクリプス,0
88,1020001135734,登記記録の閉鎖等,0,2023-02-10,2023-02-08,株式会社日月アソシエイツ,,株式会社,神奈川県,川崎市幸区,鹿島田２丁目１６番１５号,,14,132,2120058,,,2023-02-08,清算の結了等,,,2020-04-10,1,,,,,ニチゲツアソシエイツ,0
101,1021001072736,登記記録の閉鎖等,0,2023-02-10,2023-02-06,サンコーホームズ株式会社,,株式会社,神奈川県,大和市,柳橋５丁目７番地の１０,,14,213,2420022,,,2023-02-06,清算の結了等,,,2021-06-23,1,,,,,サンコーホームズ,0
107,1030003015248,登記記録の閉鎖等,0,2023-02-10,2023-02-02,ＬｉｖｅＦｏｒＯｔｈｅｒｓ合同会社,,合同会社,埼玉県,さいたま市浦和区,岸町７丁目７－２３－７０３,,11,107,3300064,,,2023-02-02,清算の結了等,,,2020-05-11,1,,,,,ライブフォーアザーズ,0
117,1040001103598,登記記録の閉鎖等,0,2023-02-10,2023-02-08,株式会社ＪＣＮ,,株式会社,千葉県,千葉市稲毛区,天台１丁目９番１号,,12,103,2630016,,,2023-02-08,清算の結了等,,,2018-02-23,1,,,,,ジェーシーエヌ,0
128,1060002029048,登記記録の閉鎖等,0,2023-02-10,2023-02-07,有限会社西脇電気管理,,有限会社,栃木県,小山市,駅南町２丁目１番９号,,09,208,3230822,,,2023-02-07,清算の結了等,,,2015-10-05,1,,,,,ニシワキデンキカンリ,0
131,1070001024924,登記記録の閉鎖等,0,2023-02-10,2023-02-03,ワイ・システム企画株式会社,,株式会社,群馬県,高崎市,足門町７２２番地７,,10,202,3703531,,,2023-02-03,清算の結了等,,,2015-10-05,1,,,,,ワイシステムキカク,0
136,1090001011581,登記記録の閉鎖等,0,2023-02-10,2023-02-02,株式会社八ヶ岳建築工房,,株式会社,山梨県,北杜市,大泉町西井出８２４０番地８１９１,,19,209,4091501,,,2023-02-02,清算の結了等,,,2015-10-05,1,,,,,,0
138,1090002010525,登記記録の閉鎖等,0,2023-02-10,2023-02-03,有限会社村松電気,,有限会社,山梨県,都留市,上谷６丁目１２番８号,,19,204,4020053,,,2023-02-03,清算の結了等,,,2015-10-05,1,,,,,ムラマツデンキ,0
143,1110003004663,登記記録の閉鎖等,0,2023-02-10,2023-02-09,合同会社ぐれち,,合同会社,新潟県,胎内市,築地２０４１番地,,15,227,9592712,,,2023-02-09,清算の結了等,,,2021-12-27,1,,,,,グレチ,0
150,1120001241489,登記記録の閉鎖等,0,2023-02-10,2023-02-08,株式会社Ｓｋｙ　Ｓｕｎ,,株式会社,大阪府,大阪市福島区,野田２丁目１２番１０号,,27,103,5530005,,,2023-02-08,清算の結了等,,,2021-10-29,1,,,,,スカイサン,0
155,1120002000101,登記記録の閉鎖等,0,2023-02-10,2023-02-08,有限会社梅田建築設計,,有限会社,大阪府,大阪市旭区,高殿７丁目７番２３号,,27,117,5350031,,,2023-02-08,清算の結了等,,,2015-10-05,1,,,,,ウメダケンチクセッケイ,0
184,1140002040970,登記記録の閉鎖等,0,2023-02-10,2023-02-06,有限会社さくらい文具店,,有限会社,兵庫県,尼崎市,塚口町１丁目１３番１０号,,28,202,6610002,,,2023-02-06,清算の結了等,,,2015-10-05,1,,,,,サクライブングテン,0
186,1150001011071,登記記録の閉鎖等,0,2023-02-10,2023-02-01,株式会社ヨシハラ,,株式会社,奈良県,橿原市,西池尻町２９番地６,,29,205,6340821,,,2023-02-01,清算の結了等,,,2015-10-05,1,,,,,ヨシハラ,0
207,1250002002968,登記記録の閉鎖等,0,2023-02-10,2023-02-01,有限会社カービート山口,,有限会社,山口県,防府市,新橋町１４番２７号,,35,206,7470047,,,2023-02-01,清算の結了等,,,2015-10-05,1,,,,,カービートヤマグチ,0
227,1360001014474,登記記録の閉鎖等,0,2023-02-10,2023-02-06,株式会社ＫＥＮＴインターナショナル,,株式会社,沖縄県,那覇市,宇栄原１丁目２番３号,,47,201,9010153,,,2023-02-06,清算の結了等,,,2015-10-05,1,,,,,,0
240,1440002008946,登記記録の閉鎖等,0,2023-02-10,2023-02-06,有限会社三共エンジニア,,有限会社,北海道,瀬棚郡今金町,字今金６１番地の１,,01,370,0494308,,,2023-02-06,清算の結了等,,,2015-10-05,1,,,,,サンキョウエンジニア,0
241,1450001005737,登記記録の閉鎖等,0,2023-02-10,2023-02-09,株式会社石山工業,,株式会社,北海道,旭川市,永山五条２丁目４番１６号,,01,204,0798415,,,2023-02-09,清算の結了等,,,2015-10-05,1,,,,,イシヤマコウギョウ,0
246,1500002022882,登記記録の閉鎖等,0,2023-02-10,2023-02-08,有限会社タナカ．ハウスサービス,,有限会社,愛媛県,宇和島市,川内甲７５０番地１,,38,203,7980075,,,2023-02-08,清算の結了等,,,2015-10-05,1,,,,,タナカハウスサービス,0
279,2010701020351,登記記録の閉鎖等,0,2023-02-10,2023-02-07,才特国際株式会社,,株式会社,東京都,品川区,西大井１丁目１－２－２０６（Ｊタワー西大井）,,13,109,1400015,,,2023-02-07,清算の結了等,,,2015-10-05,1,,,,,サイトクコクサイ,0
287,2011001056813,登記記録の閉鎖等,0,2023-02-10,2023-02-07,株式会社ヴァリアーチ,,株式会社,東京都,世田谷区,太子堂３丁目３６－１アイビーテラス１１４,,13,112,1540004,,,2023-02-07,清算の結了等,,,2015-10-05,1,,,,,ヴァリアーチ,0
288,2011001070525,登記記録の閉鎖等,0,2023-02-10,2023-02-01,株式会社ＳｐｉｎＡｐｐＪａｐａｎ,,株式会社,東京都,渋谷区,桜丘町２９－３３渋谷三信マンション５０２,,13,113,1500031,,,2023-02-01,合併による解散等,3010401067114,令和５年２月１日東京都渋谷区桜丘町２９番３３号株式会社マスターゲイツ（3010401067114）に合併し解散,2015-10-05,1,,,,,スピンアップジャパン,0
323,2013101000444,登記記録の閉鎖等,0,2023-02-10,2023-02-08,株式会社ローザ,,株式会社,東京都,西多摩郡瑞穂町,箱根ケ崎東松原２７番地９,,13,303,1901222,,,2023-02-08,清算の結了等,,,2015-10-05,1,,,,,,0
332,2020001141401,登記記録の閉鎖等,0,2023-02-10,2023-02-02,株式会社アジャスターランド,,株式会社,神奈川県,横浜市保土ケ谷区,新桜ケ丘１丁目１４番地１４,,14,106,2400036,,,2023-02-02,清算の結了等,,,2021-05-24,1,,,,,アジャスターランド,0
337,2020003000092,登記記録の閉鎖等,0,2023-02-10,2023-02-07,合名会社田中屋,,合名会社,神奈川県,横浜市鶴見区,鶴見中央４丁目１６番２号,,14,101,2300051,,,2023-02-07,清算の結了等,,,2015-10-05,1,,,,,タナカヤ,0
353,2030002114727,登記記録の閉鎖等,0,2023-02-10,2023-02-07,有限会社丸山建材,,有限会社,埼玉県,熊谷市,西城６９９番地１７,,11,202,3600214,,,2023-02-07,清算の結了等,,,2015-10-05,1,,,,,マルヤマケンザイ,0
361,2040001075390,登記記録の閉鎖等,0,2023-02-10,2023-01-27,株式会社テックマーク・ジャパン,,株式会社,千葉県,勝浦市,小羽戸４８５番地２,,12,218,2995218,,,2023-01-27,清算の結了等,,,2015-10-05,1,,,,,テックマークジャパン,0
374,2060002017472,登記記録の閉鎖等,0,2023-02-10,2023-02-07,有限会社栃木ハウジング,,有限会社,栃木県,真岡市,高勢町１丁目６９番地,,09,209,3214341,,,2023-02-07,清算の結了等,,,2015-10-05,1,,,,,トチギハウジング,0
378,2080002013908,登記記録の閉鎖等,0,2023-02-10,2023-02-07,有限会社松屋家具センター,,有限会社,静岡県,島田市,中央町１５番の９,,22,209,4270042,,,2023-02-07,清算の結了等,,,2015-10-05,1,,,,,マツヤカグセンター,0
385,2100001009821,登記記録の閉鎖等,0,2023-02-10,2023-02-07,城南電機株式会社,,株式会社,長野県,上田市,上田原１７４０番地,,20,203,3861102,,,2023-02-07,清算の結了等,,,2015-10-05,1,,,,,ジョウナンデンキ,0
397,2120001155515,登記記録の閉鎖等,0,2023-02-10,2023-02-09,株式会社カワニシ食品,,株式会社,大阪府,守口市,大久保町３丁目５番２号,,27,209,5700012,,,2023-02-09,清算の結了等,,,2015-10-05,1,,,,,,0
