sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
19,1010005035386,登記記録の閉鎖等,0,2024-05-09,2024-05-01,カンザス特定目的会社,,その他の設立登記法人,東京都,中央区,銀座１丁目６番１１号アースタックス税理士法人内,,13,102,1040061,,,2024-05-01,清算の結了等,,,2022-08-05,1,,,,,カンザス,0
28,1010405016242,登記記録の閉鎖等,0,2024-05-09,2024-04-16,税理士法人赤坂税務総合事務所,,その他の設立登記法人,東京都,港区,赤坂８丁目６番１７号,,13,103,1070052,,,2024-04-16,清算の結了等,,,2017-11-22,1,,,,,アカサカゼイムソウゴウジムショ,0
35,1010701035615,登記記録の閉鎖等,0,2024-05-09,2024-04-19,株式会社ビューテック,,株式会社,東京都,品川区,西五反田２丁目９番７号ドルミ五反田４０７号,,13,109,1410031,,,2024-04-19,清算の結了等,,,2018-04-06,1,,,,,ビューテック,0
81,1012802003822,登記記録の閉鎖等,0,2024-05-09,2024-04-25,有限会社三美商事,,有限会社,東京都,昭島市,拝島町２丁目４番８号,,13,207,1960002,,,2024-04-25,清算の結了等,,,2015-10-05,1,,,,,ミツビショウジ,0
95,1020003007089,登記記録の閉鎖等,0,2024-05-09,2024-04-30,富士株式会社,,株式会社,東京都,台東区,台東１丁目１６番３号,,13,106,1100016,,,2024-04-30,合併による解散等,5010001043835,令和６年４月３０日東京都台東区台東一丁目１６番３号株式会社ザナショナルカントリー倶楽部（5010001043835）に合併し解散,2015-10-05,1,,,,,フジ,0
112,1040001043951,登記記録の閉鎖等,0,2024-05-09,2024-05-02,株式会社ホームエネルギー東関東,,株式会社,千葉県,白井市,中字中台３０２番地の１,,12,232,2701406,,,2024-05-02,合併による解散等,3030001007690,令和６年４月１日埼玉県さいたま市中央区大字下落合１０７１番地２株式会社ホームエネルギー首都圏（3030001007690）に合併し解散,2015-10-05,1,,,,,ホームエネルギーヒガシカントウ,0
122,1040002004580,登記記録の閉鎖等,0,2024-05-09,2024-04-23,株式会社禧建設,,株式会社,千葉県,千葉市花見川区,内山町８７番地,,12,102,2620002,,,2024-04-23,合併による解散等,8040002001415,令和６年４月１日千葉市花見川区内山町８７番地株式会社ウエスト工業（8040002001415）に合併し解散,2015-10-05,1,,,,,,0
132,1070001000529,登記記録の閉鎖等,0,2024-05-09,2024-05-02,関東プロパン瓦斯株式会社,,株式会社,群馬県,前橋市,天川大島町２９１番地,,10,201,3792154,,,2024-05-02,合併による解散等,5030001009545,令和６年４月１日埼玉県さいたま市中央区下落合１０７１番地２イワタニ関東株式会社（5030001009545）に合併し解散,2015-10-05,1,,,,,カントウプロパンガス,0
137,1070002023883,登記記録の閉鎖等,0,2024-05-09,2024-05-01,有限会社セレサ,,有限会社,群馬県,桐生市,仲町３丁目８番３号,,10,203,3760035,,,2024-05-01,清算の結了等,,,2015-10-05,1,,,,,セレサ,0
146,1100001035785,登記記録の閉鎖等,0,2024-05-09,2024-04-18,株式会社ＧｒｏｗｓＧａｔｅ,,株式会社,長野県,長野市,大字東和田８４２番地ＣＯＲＥＯＦＦＩＣＥ３０１号室,,20,201,3810038,,,2024-04-18,清算の結了等,,,2022-10-14,1,,,,,グロウズゲイト,0
170,1120101058817,登記記録の閉鎖等,0,2024-05-09,2024-05-01,株式会社キャピタル・インベストメント,,株式会社,大阪府,和泉市,岡町３１番地,,27,219,5941128,,,2024-05-01,清算の結了等,,,2018-09-28,1,,,,,キャピタルインベストメント,0
177,1120902006874,登記記録の閉鎖等,0,2024-05-09,2024-05-02,有限会社大侑,,有限会社,大阪府,吹田市,新芦屋上２０番２９号,00033728,27,205,5650804,,,2024-05-02,清算の結了等,,,2015-10-05,1,,,,,タイユウ,0
191,1150001005825,登記記録の閉鎖等,0,2024-05-09,2024-05-07,株式会社三幸,,株式会社,奈良県,大和郡山市,柳２丁目１２番地,,29,203,6391134,,,2024-05-07,清算の結了等,,,2015-10-05,1,,,,,サンコウ,0
205,1180002040827,登記記録の閉鎖等,0,2024-05-09,2024-04-26,有限会社石塚木材,00073134,有限会社,愛知県,北名古屋市,九之坪東ノ川１３９番地,,23,234,4810041,,,2024-04-26,清算の結了等,,,2015-10-05,1,,,,,イシヅカモクザイ,0
208,1180301024480,登記記録の閉鎖等,0,2024-05-09,2024-05-01,株式会社ラブリーライフコーポレーション,,株式会社,愛知県,豊橋市,宮下町２６番地,,23,201,4400044,,,2024-05-01,清算の結了等,,,2015-10-05,1,,,,,ラブリーライフコーポレーション,0
211,1190002010366,登記記録の閉鎖等,0,2024-05-09,2024-05-02,有限会社サザンフジ,,有限会社,三重県,伊勢市,下野町６００番地８,,24,203,5160003,,,2024-05-02,清算の結了等,,,2015-10-05,1,,,,,サザンフジ,0
216,1200001030017,登記記録の閉鎖等,0,2024-05-09,2024-05-02,株式会社シティプランニング岐阜,,株式会社,岐阜県,可児市,土田２５４８－３,,21,214,5090206,,,2024-05-02,合併による解散等,4200001031202,令和６年５月１日岐阜県可児市土田２５４８－３株式会社シティプランニング（4200001031202）に合併し解散,2015-10-05,1,,,,,シティプランニングギフ,0
224,1250002020078,登記記録の閉鎖等,0,2024-05-09,2024-05-07,有限会社若松建設,,有限会社,山口県,熊毛郡平生町,大字宇佐木３５５番地の１８,,35,344,7421104,,,2024-05-07,清算の結了等,,,2015-10-05,1,,,,,ワカマツケンセツ,0
267,1430002033895,登記記録の閉鎖等,0,2024-05-09,2024-05-02,有限会社セグチ,,有限会社,北海道,札幌市手稲区,前田二条８丁目４番２０号,,01,109,0060812,,,2024-05-02,清算の結了等,,,2015-10-05,1,,,,,セグチ,0
