sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
16,1010003026593,登記記録の閉鎖等,0,2023-03-08,2023-03-01,エステック・ソーラー合同会社,,合同会社,東京都,千代田区,一ツ橋２丁目１番１号,,13,101,1010003,,,2023-03-01,清算の結了等,,,2017-12-12,1,,,,,エステックソーラー,0
50,1011001094319,登記記録の閉鎖等,0,2023-03-08,2023-03-01,株式会社エイチエムズ,,株式会社,東京都,渋谷区,恵比寿南１丁目１番１号,,13,113,1500022,,,2023-03-01,合併による解散等,7011101009484,令和５年３月１日東京都渋谷区恵比寿南一丁目１番１号ジョイパックレジャー株式会社（7011101009484）に合併し解散,2015-10-05,1,,,,,エイチエムズ,0
52,1011001104688,登記記録の閉鎖等,0,2023-03-08,2023-03-06,株式会社セレクタ,,株式会社,岡山県,新見市,上市１１４９番地１,,33,210,7180005,,,2023-03-06,清算の結了等,,,2015-10-05,1,,,,,セレクタ,0
58,1011002022261,登記記録の閉鎖等,0,2023-03-08,2023-02-24,有限会社エパース,,有限会社,東京都,渋谷区,東２丁目６番１８号,,13,113,1500011,,,2023-02-24,合併による解散等,8011001004196,令和５年２月１日東京都渋谷区東二丁目６番１８号株式会社エポック（8011001004196）に合併し解散,2015-10-05,1,,,,,,0
60,1011005007210,登記記録の閉鎖等,0,2023-03-08,2023-02-20,特定非営利活動法人ＳＣＯＯＰ,,その他の設立登記法人,東京都,渋谷区,渋谷３丁目７番６号第６矢木ビル６階,,13,113,1500002,,,2023-02-20,清算の結了等,,,2017-05-23,1,,,,,スクープ,0
82,1012302001608,登記記録の閉鎖等,0,2023-03-08,2023-02-20,有限会社グレンデル,,有限会社,東京都,町田市,高ケ坂１８２３番地,,13,209,1940014,,,2023-02-20,清算の結了等,,,2015-10-05,1,,,,,グレンデル,0
86,1012402007570,登記記録の閉鎖等,0,2023-03-08,2023-03-07,有限会社丸井商事,,有限会社,東京都,調布市,西つつじケ丘３丁目３４番地２５,,13,208,1820006,,,2023-03-07,清算の結了等,,,2015-10-05,1,,,,,,0
94,1020003020059,登記記録の閉鎖等,0,2023-03-08,2023-03-06,ｋｒｕｂｅｒａ合同会社,,合同会社,神奈川県,川崎市中原区,木月伊勢町１０番３号,,14,133,2110032,,,2023-03-06,清算の結了等,,,2021-06-25,1,,,,,クルベラ,0
97,1021005011590,登記記録の閉鎖等,0,2023-03-08,2023-03-02,一般社団法人ＣＨＡＲＬＩＥ＆ＹＯＳＨＩＫＯ　ＦＯＵＮＤＡＴＩＯＮ　ＴＲＵＳＴ,,その他の設立登記法人,神奈川県,三浦郡葉山町,下山口１８２８番地,,14,301,2400116,,,2023-03-02,清算の結了等,,,2019-04-25,1,,,,,チャーリーアンドヨシコファンデーショントラスト,0
129,1060001011980,登記記録の閉鎖等,0,2023-03-08,2023-03-03,株式会社サトー,,株式会社,栃木県,那須塩原市,二区町４９９番地４０,,09,213,3292733,,,2023-03-03,清算の結了等,,,2015-10-05,1,,,,,サトー,0
134,1080001002417,登記記録の閉鎖等,0,2023-03-08,2023-03-07,株式会社星広,,株式会社,静岡県,静岡市葵区,竜南３丁目１７番２４号,,22,101,4200804,,,2023-03-07,清算の結了等,,,2015-10-05,1,,,,,セイコウ,0
140,1080402002387,登記記録の閉鎖等,0,2023-03-08,2023-03-06,有限会社北村樹脂,,有限会社,静岡県,浜松市北区,三方原町２１８７番地２,,22,135,4338105,,,2023-03-06,清算の結了等,,,2015-10-05,1,,,,,キタムラジュシ,0
184,1150001019619,登記記録の閉鎖等,0,2023-03-08,2023-03-03,株式会社成発,,株式会社,奈良県,北葛城郡上牧町,下牧１丁目５番４７号,,29,424,6390205,,,2023-03-03,清算の結了等,,,2015-10-05,1,,,,,セイハツ,0
189,1180001068935,登記記録の閉鎖等,0,2023-03-08,2023-03-06,株式会社Ｚｃａｒｒｙ,,株式会社,愛知県,名古屋市中川区,広田町３丁目２３番地の１,,23,110,4540867,,,2023-03-06,清算の結了等,,,2015-10-05,1,,,,,ゼットキャリー,0
203,1200001021742,登記記録の閉鎖等,0,2023-03-08,2023-03-02,株式会社金中製陶所,,株式会社,岐阜県,瑞浪市,陶町猿爪５９７番地,,21,208,5096361,,,2023-03-02,清算の結了等,,,2023-01-31,1,,,,,,0
267,1420002007859,登記記録の閉鎖等,0,2023-03-08,2023-03-02,有限会社テレシステム,,有限会社,青森県,八戸市,大字大久保字下大久保１５番地１５７,,02,203,0310833,,,2023-03-02,清算の結了等,,,2015-10-05,1,,,,,テレシステム,0
332,2010403026820,登記記録の閉鎖等,0,2023-03-08,2023-02-28,合同会社フエム,,合同会社,東京都,港区,赤坂９丁目１番７－１０１３号,,13,103,1070052,,,2023-02-28,清算の結了等,,,2022-01-06,1,,,,,フエム,0
360,2012401002704,登記記録の閉鎖等,0,2023-03-08,2023-03-02,龍生自動車株式会社,,株式会社,東京都,国分寺市,戸倉１丁目１番地の８,,13,214,1850003,,,2023-03-02,清算の結了等,,,2015-10-05,1,,,,,リュウセイジドウシャ,0
380,2021001031757,登記記録の閉鎖等,0,2023-03-08,2023-03-03,株式会社エスプリデザイン,,株式会社,神奈川県,相模原市緑区,橋本５丁目２６番１４号,,14,151,2520143,,,2023-03-03,清算の結了等,,,2015-10-05,1,,,,,エスプリデザイン,0
382,2021001052984,登記記録の閉鎖等,0,2023-03-08,2023-03-02,株式会社トライレイズ,,株式会社,神奈川県,相模原市中央区,田名３０６２番地７,,14,152,2520244,,,2023-03-02,合併による解散等,8021001012685,令和５年２月２８日神奈川県相模原市中央区田名３１３８番地３スクリーンプロセス株式会社（8021001012685）に合併し解散,2015-10-05,1,,,,,トライレイズ,0
