sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
12,1010001263593,新規,0,2026-04-16,2026-04-16,株式会社この星はオイシイモノでできている,,株式会社,東京都,中央区,日本橋室町１丁目１１番１２号日本橋水野ビル７階,,13,102,1030022,,,,,,,2026-04-16,1,,,,,コノホシハオイシイモノデデキテイル,0
14,1010001264261,新規,0,2026-04-16,2026-04-16,旭アンドロメダ株式会社,,株式会社,東京都,中央区,東日本橋２丁目１５番７‐１１０２号,,13,102,1030004,,,,,,,2026-04-16,1,,,,,アサヒアンドロメダ,0
15,1010001264575,新規,0,2026-04-16,2026-04-16,株式会社めぐみや,,株式会社,東京都,中央区,銀座８丁目１９番４号,,13,102,1040061,,,,,,,2026-04-16,1,,,,,メグミヤ,0
16,1010001264641,新規,0,2026-04-16,2026-04-16,スカイベース株式会社,,株式会社,東京都,中央区,日本橋２丁目１６番４号ｒｅｍｉｘ日本橋６階,,13,102,1030027,,,,,,,2026-04-16,1,,,,,スカイベース,0
18,1010003051071,新規,0,2026-04-16,2026-04-16,合同会社ＢＩＯＴＯＰＥ,,合同会社,東京都,中央区,京橋２丁目２番１号,,13,102,1040031,,,,,,,2026-04-16,1,,,,,,0
20,1010101017172,新規,0,2026-04-16,2026-04-16,日本農業支援機構株式会社,,株式会社,東京都,八王子市,越野２１－１３－３Ｆ,,13,201,1920361,,,,,,,2026-04-16,1,,,,,ニホンノウギョウシエンキコウ,0
30,1010401197929,新規,0,2026-04-16,2026-04-16,株式会社Ｒ　Ｂａｓｅ,,株式会社,東京都,港区,六本木３丁目１６番１２号六本木ＫＳビル５Ｆ,,13,103,1060032,,,,,,,2026-04-16,1,,,,,アールベース,0
31,1010401198043,新規,0,2026-04-16,2026-04-16,ｍｅｇｌｉ株式会社,,株式会社,東京都,港区,南青山２丁目２番１５号,,13,103,1070062,,,,,,,2026-04-16,1,,,,,メグリ,0
33,1010403037901,新規,0,2026-04-16,2026-04-16,合同会社ゼノン,,合同会社,東京都,港区,赤坂９丁目１番７－７２３号,,13,103,1070052,,,,,,,2026-04-16,1,,,,,ゼノン,0
47,1011001176851,新規,0,2026-04-16,2026-04-16,ＮＩＮＥ　ＢＹ　ＮＩＮＥ株式会社,,株式会社,東京都,渋谷区,神宮前１丁目５番８号,,13,113,1500001,,,,,,,2026-04-16,1,,,,,ナインバイナイン,0
48,1011001176876,新規,0,2026-04-16,2026-04-16,株式会社Ｔｈｅ　Ｓａｌｏｎ　Ｃｏｌｌｅｃｔｉｖｅ,,株式会社,東京都,渋谷区,円山町２７－３円山町ビル２階,,13,113,1500044,,,,,,,2026-04-16,1,,,,,ザサロンコレクティブ,0
49,1011001176884,新規,0,2026-04-16,2026-04-16,株式会社ＭＡＲＵＩＣＨＩ　ＷＯＲＫＳ,,株式会社,東京都,渋谷区,道玄坂１丁目１０番８号渋谷道玄坂東急ビル２Ｆ－Ｃ,,13,113,1500043,,,,,,,2026-04-16,1,,,,,マルイチワークス,0
50,1011001176901,新規,0,2026-04-16,2026-04-16,株式会社スティールライブ,,株式会社,東京都,渋谷区,千駄ヶ谷５丁目２３番６号グランスイート代々木５１４,,13,113,1510051,,,,,,,2026-04-16,1,,,,,スティールライブ,0
52,1011003024067,新規,0,2026-04-16,2026-04-16,合同会社ステイゴールド,,合同会社,東京都,渋谷区,道玄坂１丁目１０番８号渋谷道玄坂東急ビル２Ｆ－Ｃ,,13,113,1500043,,,,,,,2026-04-16,1,,,,,ステイゴールド,0
66,1012401044342,新規,0,2026-04-16,2026-04-16,株式会社誠和ＪＡＰＡＮ,,株式会社,東京都,三鷹市,新川２丁目２－３５ＳｕｎＲｉｓｅ１０２,,13,204,1810004,,,,,,,2026-04-16,1,,,,,セイワジャパン,0
67,1012403007702,新規,0,2026-04-16,2026-04-16,合同会社ＳＩＶ,,合同会社,東京都,府中市,若松町３丁目２５番地の３レシデンシアフエンテドラーダ１０９,,13,206,1830005,,,,,,,2026-04-16,1,,,,,エスアイブイ,0
68,1012705002509,新規,0,2026-04-16,2026-04-16,一般社団法人東京西部福音教会,,その他の設立登記法人,東京都,東村山市,美住町２丁目２５番地１０１,,13,213,1890023,,,,,,,2026-04-16,1,,,,,トウキョウセイブフクインキョウカイ,0
69,1012801024654,新規,0,2026-04-16,2026-04-16,株式会社ＣＥＬＳＵＳ,,株式会社,東京都,立川市,一番町６丁目２８番地の５,,13,202,1900033,,,,,,,2026-04-16,1,,,,,セルサス,0
