sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
3,1010001117618,登記記録の閉鎖等,0,2024-09-13,2024-09-03,株式会社Ｈ＆Ｒ　Ｆｌａｇ,,株式会社,東京都,中央区,八丁堀２丁目３０番１７号亀島橋ビル５階,,13,102,1040032,,,2024-09-03,清算の結了等,,,2015-10-05,1,,,,,エイチアンドアールフラッグ,0
4,1010001157639,登記記録の閉鎖等,0,2024-09-13,2024-08-23,株式会社マンハッタンデリ,,株式会社,東京都,港区,六本木３丁目１１番６号野沢ビル６階,,13,103,1060032,,,2024-08-23,清算の結了等,,,2015-10-05,1,,,,,マンハッタンデリ,0
7,1010002006794,登記記録の閉鎖等,0,2024-09-13,2024-09-02,有限会社浅野,,有限会社,東京都,千代田区,丸の内１丁目２番１号,,13,101,1000005,,,2024-09-02,清算の結了等,,,2015-10-05,1,,,,,アサノ,0
19,1010401103820,登記記録の閉鎖等,0,2024-09-13,2024-09-10,キャスレーホールディングス株式会社,,株式会社,東京都,文京区,本郷６丁目１７番９号本郷綱ビル１０Ｆ,,13,105,1130033,,,2024-09-10,合併による解散等,6011001072567,令和６年９月１日東京都渋谷区渋谷３－１－９渋谷ＹＡＺＡＷＡビル３Ｆキャスレーホールディングス株式会社（6011001072567）に合併し解散,2015-10-05,1,,,,,キャスレーホールディングス,0
26,1010403021070,登記記録の閉鎖等,0,2024-09-13,2024-08-23,合同会社峯,,合同会社,東京都,港区,赤坂２丁目１３番１８号コリンズ３３ビル４階Ｊ室,,13,103,1070052,,,2024-08-23,清算の結了等,,,2019-07-11,1,,,,,ミネ,0
35,1010703001870,登記記録の閉鎖等,0,2024-09-13,2024-09-11,株式会社クラフトジャパン,,株式会社,埼玉県,さいたま市南区,別所５丁目１５番２号,,11,108,3360021,,,2024-09-11,清算の結了等,,,2015-10-05,1,,,,,クラフトジャパン,0
56,1012302008537,登記記録の閉鎖等,0,2024-09-13,2024-09-06,有限会社ＭＤＡ,,有限会社,東京都,町田市,本町田３１１１番地５,,13,209,1940032,,,2024-09-06,清算の結了等,,,2015-10-05,1,,,,,エムディーエー,0
60,1012802003120,登記記録の閉鎖等,0,2024-09-13,2024-09-06,有限会社三恵塗装,,有限会社,東京都,昭島市,美堀町２丁目９番３７号,,13,207,1960001,,,2024-09-06,清算の結了等,,,2015-10-05,1,,,,,サンケイトソウ,0
64,1020001053580,登記記録の閉鎖等,0,2024-09-13,2024-09-02,株式会社オープンハウジング,,株式会社,神奈川県,横浜市保土ケ谷区,和田１丁目７番２９号,,14,106,2400065,,,2024-09-02,清算の結了等,,,2015-10-05,1,,,,,オープンハウジング,0
65,1020001068653,登記記録の閉鎖等,0,2024-09-13,2024-08-30,株式会社ユーエイ設計,,株式会社,神奈川県,川崎市宮前区,鷺沼１丁目２２番地３,,14,136,2160004,,,2024-08-30,清算の結了等,,,2015-10-05,1,,,,,ユーエイセッケイ,0
