sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
3,1010001077655,登記記録の閉鎖等,0,2024-10-17,2024-10-02,株式会社健康医療ジャーナル,,株式会社,東京都,中央区,新川２丁目２１番１５号ニューハイツ八丁堀１００７,,13,102,1040033,,,2024-10-02,清算の結了等,,,2015-10-05,1,,,,,ケンコウイリョウジャーナル,0
6,1010001152771,登記記録の閉鎖等,0,2024-10-17,2024-10-09,ＮＹＴ株式会社,,株式会社,東京都,千代田区,外神田６丁目１１番８号,,13,101,1010021,,,2024-10-09,合併による解散等,2010001031677,令和６年１０月１日東京都千代田区外神田六丁目１１番８号吉川運輸株式会社（2010001031677）に合併し解散,2015-10-05,1,,,,,エヌワイティー,0
17,1010401052118,登記記録の閉鎖等,0,2024-10-17,2024-10-01,株式会社ピーク・ワン,,株式会社,東京都,千代田区,神田錦町３丁目２３メットライフ神田錦町ビル４階,,13,101,1010054,,,2024-10-01,合併による解散等,8010401030942,令和６年１０月１日東京都千代田区神田錦町３－２３神田錦町安田ビル７階ＳＯＵグローバル＆コミュニケーション株式会社（8010401030942）に合併し解散,2015-10-05,1,"Peak 1 Co., Ltd.",Tokyo,"4F MetLife Kanda-Nishikicho Bldg., 3-23, Kanda-Nishikicho, Chiyoda-ku",,ピークワン,0
36,1010405020327,登記記録の閉鎖等,0,2024-10-17,2024-09-24,一般社団法人ＢＯＬ１,,その他の設立登記法人,東京都,港区,虎ノ門５丁目３番２０号株式会社アカウンティング・マネジメント・サービス内,,13,103,1050001,,,2024-09-24,清算の結了等,,,2021-10-18,1,,,,,ビーオーエルワン,0
55,1011001029365,登記記録の閉鎖等,0,2024-10-17,2024-10-01,株式会社エンターテイメントボウル,,株式会社,東京都,港区,三田３丁目９番１１号,,13,103,1080073,,,2024-10-01,合併による解散等,4011101043890,令和６年１０月１日東京都港区三田三丁目９番１１号株式会社ＣＯＭＢＲＩＤＧＥ＆ＥＢ（4011101043890）に合併し解散,2015-10-05,1,,,,,エンターテイメントボウル,0
76,1012301009726,登記記録の閉鎖等,0,2024-10-17,2024-10-10,Ｋ２ＰＯＷＥＲＤ株式会社,,株式会社,東京都,町田市,中町４丁目３番７号中町ハイツ１１０,,13,209,1940021,,,2024-10-10,清算の結了等,,,2015-10-05,1,,,,,ケーツーパワード,0
83,1013202011028,登記記録の閉鎖等,0,2024-10-17,2024-09-26,有限会社エーアンドケー,,有限会社,東京都,目黒区,中目黒５丁目１２番２０－３０４号,,13,110,1530061,,,2024-09-26,清算の結了等,,,2015-10-05,1,,,,,エーアンドケー,0
84,1013301006564,登記記録の閉鎖等,0,2024-10-17,2024-10-15,株式会社創流デザイン,,株式会社,埼玉県,所沢市,小手指元町３丁目１３番地の１２,,11,208,3591147,,,2024-10-15,清算の結了等,,,2015-10-05,1,,,,,ソウリュウデザイン,0
88,1020001095012,登記記録の閉鎖等,0,2024-10-17,2024-10-09,株式会社友愛,,株式会社,神奈川県,川崎市川崎区,小川町１６番地５,,14,131,2100023,,,2024-10-09,合併による解散等,9010601016609,令和６年１０月１日東京都墨田区両国二丁目１３番２号やよい観光株式会社（9010601016609）に合併し解散,2015-10-05,1,,,,,ユウアイ,0
128,1050002042836,登記記録の閉鎖等,0,2024-10-17,2024-10-07,有限会社山中工芸,,有限会社,茨城県,桜川市,真壁町椎尾６２０番地,,08,231,3004414,,,2024-10-07,清算の結了等,,,2015-10-05,1,,,,,ヤマナカコウゲイ,0
129,1050005011219,登記記録の閉鎖等,0,2024-10-17,2024-10-07,特定非営利活動法人いばらきの犬と猫,,その他の設立登記法人,茨城県,古河市,尾崎４３２５番地３,,08,204,3060101,,,2024-10-07,清算の結了等,,,2015-10-05,1,,,,,イバラキノイヌトネコ,0
132,1070001026185,登記記録の閉鎖等,0,2024-10-17,2024-10-15,株式会社ＧＨＴ,,株式会社,群馬県,高崎市,八千代町３丁目１６番２０号プラザタジマ１０２号,,10,202,3700861,,,2024-10-15,清算の結了等,,,2015-10-05,1,,,,,ジーエイチティー,0
133,1070002023000,登記記録の閉鎖等,0,2024-10-17,2024-10-11,有限会社小内牧場,,有限会社,群馬県,みどり市,笠懸町鹿６６０番地の３,,10,212,3792313,,,2024-10-11,清算の結了等,,,2015-10-05,1,,,,,オナイボクジョウ,0
