sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
22,1010601008687,登記記録の閉鎖等,0,2025-04-24,2025-04-16,株式会社石居製革所,,株式会社,東京都,墨田区,東墨田３丁目１４番７号,,13,107,1310042,,,2025-04-16,清算の結了等,,,2015-10-05,1,,,,,イシイセイカクショ,0
24,1010601064524,登記記録の閉鎖等,0,2025-04-24,2025-04-11,株式会社ＫＲＫ,,株式会社,東京都,江東区,東砂３丁目２５番１１号リビオン２０１,,13,108,1360074,,,2025-04-11,清算の結了等,,,2024-01-25,1,,,,,ケイアールケイ,0
30,1011001057275,登記記録の閉鎖等,0,2025-04-24,2025-04-01,ＧＲＡＮＤＩＴ株式会社,,株式会社,東京都,港区,赤坂９丁目７番２号,,13,103,1070052,,,2025-04-01,合併による解散等,3011001057199,令和７年４月１日東京都港区赤坂九丁目７番２号インフォコム株式会社（3011001057199）に合併し解散,2015-10-05,1,,,,,グランディッド,0
48,1011301007938,登記記録の閉鎖等,0,2025-04-24,2025-04-14,株式会社プレシアントシステム,,株式会社,東京都,杉並区,高井戸東４丁目６番２３号,,13,115,1680072,,,2025-04-14,清算の結了等,,,2015-10-05,1,,,,,プレシアントシステム,0
54,1011601001277,登記記録の閉鎖等,0,2025-04-24,2025-04-09,株式会社小川設計,,株式会社,東京都,練馬区,関町南３丁目２５番１０号,,13,120,1770053,,,2025-04-09,清算の結了等,,,2015-10-05,1,,,,,オガワセッケイ,0
56,1011602003784,登記記録の閉鎖等,0,2025-04-24,2025-04-10,有限会社晃和メディカル,,有限会社,東京都,練馬区,練馬３丁目１９番１２号ウエストハイランド１－Ｂ,,13,120,1760001,,,2025-04-10,清算の結了等,,,2015-10-05,1,,,,,コウワメディカル,0
64,1011803004920,登記記録の閉鎖等,0,2025-04-24,2025-04-14,合同会社Ｈａｌｕｎｉ,,合同会社,東京都,足立区,新田１丁目８番６―６１９号,,13,121,1230865,,,2025-04-14,清算の結了等,,,2022-01-14,1,,,,,ハルニ,0
66,1012402011449,登記記録の閉鎖等,0,2025-04-24,2025-04-10,有限会社瑞祥,,有限会社,東京都,調布市,若葉町２丁目２３番地の２０,,13,208,1820003,,,2025-04-10,清算の結了等,,,2015-10-05,1,,,,,ズイショウ,0
67,1012702009630,登記記録の閉鎖等,0,2025-04-24,2025-04-14,有限会社ブレイン,,有限会社,栃木県,那須塩原市,青木３３７番地３０,,09,213,3250103,,,2025-04-14,清算の結了等,,,2015-10-05,1,,,,,ブレイン,0
93,1030002044173,登記記録の閉鎖等,0,2025-04-24,2025-04-18,有限会社西條工業,,有限会社,埼玉県,草加市,金明町１３４２番地１,,11,221,3400052,,,2025-04-18,清算の結了等,,,2015-10-05,1,,,,,サイジョウコウギョウ,0
121,1080101012555,登記記録の閉鎖等,0,2025-04-24,2025-04-14,熱海富士リース株式会社,,株式会社,静岡県,熱海市,下多賀８３４番地の２１,,22,205,4130102,,,2025-04-14,清算の結了等,,,2015-10-05,1,,,,,アタミフジリース,0
129,1100002002396,登記記録の閉鎖等,0,2025-04-24,2025-04-17,有限会社清水通商,,有限会社,長野県,長野市,吉田１丁目１８番４号,,20,201,3810043,,,2025-04-17,清算の結了等,,,2015-10-05,1,,,,,シミズツウショウ,0
144,1120901027946,登記記録の閉鎖等,0,2025-04-24,2025-04-07,株式会社垣原建築構造研究所,,株式会社,広島県,福山市,赤坂町大字赤坂９９２番地１,,34,207,7200843,,,2025-04-07,清算の結了等,,,2015-10-05,1,,,,,カキハラケンチクコウゾウケンキュウショ,0
187,1210001009828,登記記録の閉鎖等,0,2025-04-24,2025-04-21,高野繊維株式会社,,株式会社,福井県,大野市,篠座６７号２２番地,,18,205,9120061,,,2025-04-21,清算の結了等,,,2015-10-05,1,,,,,タカノセンイ,0
192,1220002016310,登記記録の閉鎖等,0,2025-04-24,2025-04-18,有限会社ジョイコンタクトレンズ,,有限会社,石川県,河北郡内灘町,字大学２丁目１９７番地,,17,365,9200265,,,2025-04-18,清算の結了等,,,2015-10-05,1,,,,,ジョイコンタクトレンズ,0
209,1260002021496,登記記録の閉鎖等,0,2025-04-24,2025-04-10,有限会社三原屋,,有限会社,岡山県,倉敷市,連島町西之浦５３番地,,33,202,7128001,,,2025-04-10,清算の結了等,,,2015-10-05,1,,,,,ミハラヤ,0
212,1260002025282,登記記録の閉鎖等,0,2025-04-24,2025-04-11,有限会社西ノ浜,,有限会社,岡山県,笠岡市,笠岡５９１４番地の５,,33,205,7140081,,,2025-04-11,清算の結了等,,,2015-10-05,1,,,,,ニシノハマ,0
238,1360003007393,登記記録の閉鎖等,0,2025-04-24,2025-04-11,合同会社あさけい,,合同会社,沖縄県,豊見城市,字根差部４１３番地６,,47,212,9010205,,,2025-04-11,清算の結了等,,,2015-12-18,1,,,,,アサケイ,0
241,1370001046153,登記記録の閉鎖等,0,2025-04-24,2025-04-21,株式会社壱英工業,,株式会社,宮城県,石巻市,渡波町１丁目２番２７号,,04,202,9862121,,,2025-04-21,合併による解散等,8370001025547,令和６年１２月１７日新潟県柏崎市西山町西山７５４番地２９株式会社千台（8370001025547）に合併し解散,2020-09-30,1,,,,,イチエイコウギョウ,0
284,2010501027332,登記記録の閉鎖等,0,2025-04-24,2025-04-11,株式会社ソウテンイ,,株式会社,茨城県,取手市,白山２丁目２３番１６号,,08,217,3020023,,,2025-04-11,清算の結了等,,,2015-10-05,1,,,,,ソウテンイ,0
291,2011001059626,登記記録の閉鎖等,0,2025-04-24,2025-04-16,フェアネスコンサルティング株式会社,,株式会社,東京都,千代田区,麹町１丁目１０番地,,13,101,1020083,,,2025-04-16,合併による解散等,2120001173558,令和７年４月１日大阪市西区阿波座一丁目３番１５号バルテス・イノベーションズ株式会社（2120001173558）に合併し解散,2015-10-05,1,,,,,フェアネスコンサルティング,0
293,2011001137571,登記記録の閉鎖等,0,2025-04-24,2025-04-09,株式会社ニープロダクツ,,株式会社,神奈川県,鎌倉市,大町１丁目５番８－２０５号,,14,204,2480007,,,2025-04-09,清算の結了等,,,2020-12-22,1,,,,,ニープロダクツ,0
323,2011801033177,登記記録の閉鎖等,0,2025-04-24,2025-04-21,ＡＬＳＯＫ関東デリバリー株式会社,,株式会社,東京都,足立区,千住東１丁目３１番１０号,,13,121,1200025,,,2025-04-21,合併による解散等,3010401016070,令和７年４月１日東京都港区元赤坂一丁目６番６号綜合警備保障株式会社（3010401016070）に合併し解散,2017-04-12,1,,,,,アルソックカントウデリバリー,0
325,2012302004329,登記記録の閉鎖等,0,2025-04-24,2025-04-15,有限会社細野製作所,,有限会社,神奈川県,相模原市中央区,淵野辺本町１丁目２７番３号,,14,152,2520202,,,2025-04-15,清算の結了等,,,2015-10-05,1,,,,,ホソノセイサクショ,0
330,2013303002585,登記記録の閉鎖等,0,2025-04-24,2025-02-14,フェニックス合同会社,,合同会社,東京都,大田区,中央３丁目３３－４,,13,111,1430024,,,2025-02-14,清算の結了等,,,2015-10-05,1,,,,,フェニックス,0
341,2021001020537,登記記録の閉鎖等,0,2025-04-24,2025-04-18,株式会社みのるホーム,,株式会社,神奈川県,厚木市,及川１丁目１２番２３号,,14,212,2430212,,,2025-04-18,清算の結了等,,,2015-10-05,1,,,,,ミノルホーム,0
342,2021001027821,登記記録の閉鎖等,0,2025-04-24,2025-04-18,株式会社エーディマック,,株式会社,神奈川県,大和市,中央林間１丁目９番８号,,14,213,2420007,,,2025-04-18,清算の結了等,,,2015-10-05,1,,,,,エーディマック,0
354,2030002040403,登記記録の閉鎖等,0,2025-04-24,2025-04-21,有限会社高橋工作所,00016539,有限会社,埼玉県,幸手市,中５丁目２０番１４号,,11,240,3400115,,,2025-04-21,清算の結了等,,,2015-10-05,1,,,,,タカハシコウサクショ,0
374,2080103001118,登記記録の閉鎖等,0,2025-04-24,2025-04-14,Ｚｉｎａｇｉ合同会社,,合同会社,静岡県,沼津市,原６５５番地の２ベルメゾンはら１００８号,,22,203,4100312,,,2025-04-14,清算の結了等,,,2015-10-05,1,,,,,ジナギ,0
375,2080401022039,登記記録の閉鎖等,0,2025-04-24,2025-04-23,Ｊ・Ｍ・Ｄｅｓｉｇｎ株式会社,,株式会社,静岡県,磐田市,大久保１０番地３,,22,211,4380002,,,2025-04-23,清算の結了等,,,2017-03-07,1,,,,,ジェーエムデザイン,0
377,2090003002181,登記記録の閉鎖等,0,2025-04-24,2025-04-14,合同会社彩陽興業,,合同会社,山梨県,山梨市,牧丘町室伏２８２番地,,19,205,4040012,,,2025-04-14,清算の結了等,,,2022-10-07,1,,,,,サイヨウコウギョウ,0
398,2120901015727,登記記録の閉鎖等,0,2025-04-24,2025-04-10,株式会社ＥＢＩＳＵ　Ｈｏｍｅ,,株式会社,大阪府,茨木市,若園町３７番２９号,,27,211,5670894,,,2025-04-10,清算の結了等,,,2015-10-05,1,,,,,エビスホーム,0
411,2130005016679,登記記録の閉鎖等,0,2025-04-24,2025-04-16,特定非営利活動法人ＴＵＮＡｇＵミラクル,,その他の設立登記法人,京都府,木津川市,加茂町里東大間田８番地５,,26,214,6191152,,,2025-04-16,清算の結了等,,,2023-01-23,1,,,,,ツナグミラクル,0
424,2180001048234,登記記録の閉鎖等,0,2025-04-24,2025-04-21,株式会社フルスクープ,,株式会社,岐阜県,多治見市,旭ケ丘９丁目３番地の１,,21,204,5070071,,,2025-04-21,清算の結了等,,,2015-10-05,1,,,,,フルスクープ,0
430,2180002077736,登記記録の閉鎖等,0,2025-04-24,2025-04-14,有限会社美幸,,有限会社,愛知県,一宮市,泉２丁目８番１５号,,23,203,4910861,,,2025-04-14,清算の結了等,,,2015-10-05,1,,,,,ミユキ,0
