sequenceNumber,corporateNumber,process,correct,updateDate,changeDate,name,nameImageId,kind,prefectureName,cityName,streetNumber,addressImageId,prefectureCode,cityCode,postCode,addressOutside,addressOutsideImageId,closeDate,closeCause,successorCorporateNumber,changeCause,assignmentDate,latest,enName,enPrefectureName,enCityName,enAddressOutside,furigana,hihyoji
20,1010403021392,登記記録の閉鎖等,0,2024-01-29,2024-01-12,合同会社Ｇｏｌｄｅｎ,,合同会社,東京都,港区,虎ノ門５丁目１番４号,,13,103,1050001,,,2024-01-12,清算の結了等,,,2019-09-05,1,,,,,ゴールデン,0
23,1010403029122,登記記録の閉鎖等,0,2024-01-29,2024-01-18,ＳＡＫＩＹＡ合同会社,,合同会社,東京都,港区,南青山２丁目２番１５号,,13,103,1070062,,,2024-01-18,清算の結了等,,,2022-12-09,1,,,,,サキヤ,0
36,1010702008512,登記記録の閉鎖等,0,2024-01-29,2024-01-23,有限会社山神電子,,有限会社,東京都,品川区,豊町２丁目１８番４号,,13,109,1420042,,,2024-01-23,清算の結了等,,,2015-10-05,1,,,,,ヤマガミデンシ,0
37,1010901006333,登記記録の閉鎖等,0,2024-01-29,2024-01-24,清正堂加藤株式会社,,株式会社,東京都,世田谷区,大原１丁目５９番２１号,,13,112,1560041,,,2024-01-24,清算の結了等,,,2015-10-05,1,,,,,セイショウドウカトウ,0
43,1011001024176,登記記録の閉鎖等,0,2024-01-29,2024-01-22,米沢電機株式会社,,株式会社,東京都,渋谷区,富ヶ谷２丁目１５番８号,,13,113,1510063,,,2024-01-22,清算の結了等,,,2015-10-05,1,,,,,ヨネサワデンキ,0
91,1021002014126,登記記録の閉鎖等,0,2024-01-29,2024-01-24,有限会社エフエムシー,,有限会社,神奈川県,鎌倉市,佐助２丁目１６番１１号,,14,204,2480017,,,2024-01-24,清算の結了等,,,2015-10-05,1,,,,,エフエムシー,0
93,1030001008625,登記記録の閉鎖等,0,2024-01-29,2024-01-29,株式会社優貴,,株式会社,埼玉県,さいたま市浦和区,皇山町２７番１７号,,11,107,3300045,,,2024-01-29,登記官による閉鎖,,,2015-10-05,1,,,,,,0
94,1030001016982,登記記録の閉鎖等,0,2024-01-29,2024-01-29,株式会社シーアールイーコンサルティング,,株式会社,埼玉県,さいたま市浦和区,東仲町３－１４－１０４号,,11,107,3300056,,,2024-01-29,登記官による閉鎖,,,2015-10-05,1,,,,,,0
95,1030001026767,登記記録の閉鎖等,0,2024-01-29,2024-01-29,株式会社イースト光学,,株式会社,埼玉県,入間市,大字新久６１６番地１３,,11,225,3580031,,,2024-01-29,登記官による閉鎖,,,2015-10-05,1,,,,,,0
96,1030001027476,登記記録の閉鎖等,0,2024-01-29,2024-01-29,株式会社桃伸,,株式会社,埼玉県,狭山市,大字水野１０９１番地３１,,11,215,3501317,,,2024-01-29,登記官による閉鎖,,,2015-10-05,1,,,,,,0
97,1030001034373,登記記録の閉鎖等,0,2024-01-29,2024-01-29,トライネット株式会社,,株式会社,埼玉県,さいたま市北区,本郷町４４８番地１０５,,11,102,3310802,,,2024-01-29,登記官による閉鎖,,,2015-10-05,1,,,,,,0
98,1030001052482,登記記録の閉鎖等,0,2024-01-29,2024-01-29,株式会社ライフ２１,,株式会社,埼玉県,春日部市,中央１丁目４６番地１１,,11,214,3440067,,,2024-01-29,登記官による閉鎖,,,2015-10-05,1,,,,,,0
